BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2606.61298,0.12298,-0.09763,0.11303,-0.06081,0.07042,20.57235,0.13470,0.00000
2606.83867,0.34867,-0.23464,0.12649,-0.14618,0.07880,20.64249,0.17651,0.00000
2610.72755,4.23755,1.45720,0.95680,0.90780,0.59610,18.83840,0.71290,0.98500
2610.91505,4.42505,0.61110,0.19694,0.38072,0.12269,19.70864,0.24862,0.98500
2611.12400,4.63400,0.73112,0.14958,0.45549,0.09319,19.73868,0.23807,0.98500
2611.36991,4.87991,0.40391,0.13869,0.25164,0.08641,20.03651,0.21022,0.98500
2611.61991,5.12991,0.55172,0.13183,0.34371,0.08213,19.93695,0.21289,0.98500
2611.86991,5.37991,0.12371,0.12999,0.07707,0.08098,20.18317,0.20562,0.98500
2612.11991,5.62991,0.42241,0.12755,0.26316,0.07947,20.05192,0.21249,0.98500
2612.36991,5.87991,0.41859,0.12575,0.26079,0.07834,20.05018,0.26415,0.98500
2612.61991,6.12991,0.47514,0.12476,0.29602,0.07773,19.98657,0.25587,0.98500
2612.86991,6.37991,0.64676,0.12309,0.40293,0.07669,19.78079,0.22850,0.98500
2613.11991,6.62991,0.46760,0.12241,0.29132,0.07626,20.05939,0.24755,0.98500
2613.34329,6.85329,0.34272,0.18926,0.21351,0.11790,20.19820,0.39986,0.98500
2613.59791,7.10791,0.47880,0.24228,0.29829,0.15094,20.01169,0.40840,0.98500
2614.92893,8.43893,0.66791,0.16538,0.41611,0.10303,19.90090,0.27917,0.98500
2615.11990,8.62990,0.84301,0.12012,0.52520,0.07483,19.61030,0.20253,0.98500
2615.36990,8.87990,0.85435,0.11993,0.53226,0.07472,19.57503,0.17540,0.98500
2615.61990,9.12990,0.90897,0.11941,0.56629,0.07439,19.52706,0.17696,0.98500
2615.86990,9.37990,0.83068,0.11951,0.51751,0.07446,19.65320,0.18900,0.98500
2616.11990,9.62990,0.90851,0.11884,0.56601,0.07404,19.55478,0.20394,0.98500
2616.36990,9.87990,1.13585,0.11916,0.70764,0.07424,19.27724,0.15122,0.98500
2616.61990,10.12990,0.85119,0.11961,0.53029,0.07452,19.61675,0.20229,0.98500
2616.86990,10.37990,1.05250,0.12085,0.65570,0.07529,19.39806,0.18906,0.98500
2617.11989,10.62989,0.99911,0.11971,0.62245,0.07458,19.46565,0.19827,0.98500
2617.36989,10.87989,1.14580,0.12022,0.71384,0.07489,19.23524,0.16191,0.98500
2617.61989,11.12989,1.02632,0.12035,0.63941,0.07498,19.48927,0.19893,0.98500
2617.86989,11.37989,1.34569,0.12008,0.83837,0.07481,19.06848,0.15696,0.98500
2618.11989,11.62989,1.24058,0.11954,0.77289,0.07447,19.16129,0.13555,0.98500
2618.36989,11.87989,1.48976,0.11948,0.92811,0.07443,18.88253,0.11185,0.98500
2618.61989,12.12989,1.23085,0.11983,0.76682,0.07465,19.14996,0.13805,0.98500
2618.86989,12.37989,1.21764,0.11989,0.75859,0.07469,19.25307,0.19326,0.98500
2619.11989,12.62988,1.44816,0.12048,0.90221,0.07506,18.96161,0.11318,0.98500
2619.36988,12.87988,1.18196,0.12060,0.73636,0.07514,19.27519,0.17893,0.98500
2619.61988,13.12988,1.16347,0.12015,0.72484,0.07486,19.18812,0.13761,0.98500
2619.86988,13.37988,1.23430,0.11980,0.76898,0.07464,19.15014,0.16888,0.98500
2620.11988,13.62988,1.62341,0.11999,1.01139,0.07475,18.86455,0.11970,0.98500
2620.37037,13.88037,1.39544,0.12172,0.86935,0.07584,19.01468,0.12544,0.98500
2620.61944,14.12944,1.62831,0.12728,1.01443,0.07930,18.81581,0.11701,0.98500
2620.86617,14.37617,1.47196,0.13144,0.91704,0.08189,19.04751,0.15828,0.98500
2621.07797,14.58797,1.37987,0.18651,0.85966,0.11620,18.97177,0.17767,0.98500
2621.28306,14.79306,0.64392,0.36135,0.40115,0.22511,19.78935,0.38742,0.98500
