BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2609.39769,-12.91231,1.2155,1.2024,0.5924,0.5860,19.0353,1.0740,
2609.44631,-12.86369,2.9910,1.1453,1.4577,0.5582,18.0577,0.4158,
2609.46020,-12.84980,0.4479,1.1273,0.2183,0.5494,20.1193,2.7329,
2609.46714,-12.84286,0.3743,1.1240,0.1824,0.5478,20.3142,3.2606,
2609.47409,-12.83591,2.5413,1.1227,1.2385,0.5472,18.2346,0.4797,
2609.49492,-12.81508,1.0294,1.1278,0.5017,0.5496,19.2157,1.1895,
2609.50186,-12.80814,2.0072,1.1290,0.9782,0.5502,18.4907,0.6107,
2609.51575,-12.79425,0.6769,1.1076,0.3299,0.5398,19.6709,1.7767,
2609.52270,-12.78730,4.6714,1.3090,2.2766,0.6379,17.5736,0.3042,
2609.52964,-12.78036,4.1790,1.2939,2.0366,0.6306,17.6945,0.3362,
2609.53659,-12.77341,3.2036,1.3028,1.5613,0.6349,17.9831,0.4415,
2609.55048,-12.75952,0.7661,1.1020,0.3733,0.5371,19.5365,1.5619,
2609.55742,-12.75258,3.8143,1.1023,1.8589,0.5372,17.7936,0.3138,
2609.56437,-12.74563,1.9618,1.0995,0.9561,0.5358,18.5156,0.6085,
2609.57826,-12.73174,1.7251,1.0954,0.8407,0.5339,18.6552,0.6895,
2609.59215,-12.71785,3.1723,1.0950,1.5460,0.5337,17.9938,0.3748,
2609.59909,-12.71091,0.9307,1.0916,0.4536,0.5320,19.3252,1.2735,
2609.60603,-12.70397,1.2612,1.0864,0.6146,0.5295,18.9952,0.9352,
2609.61298,-12.69702,2.9569,1.1104,1.4411,0.5412,18.0701,0.4077,
2609.61992,-12.69008,1.2455,1.0975,0.6070,0.5349,19.0088,0.9567,
2609.63381,-12.67619,2.2610,1.0873,1.1019,0.5299,18.3615,0.5221,
2609.64076,-12.66924,2.7581,1.0935,1.3441,0.5329,18.1457,0.4305,
2609.64770,-12.66230,2.4509,1.0921,1.1944,0.5322,18.2739,0.4838,
2609.65465,-12.65535,10.4365,1.0916,5.0862,0.5320,16.7008,0.1136,
2609.66159,-12.64841,1.8540,1.0899,0.9035,0.5312,18.5769,0.6383,
2609.66854,-12.64146,2.3198,1.0923,1.1306,0.5323,18.3336,0.5112,
2609.67548,-12.63452,0.6035,1.1002,0.2941,0.5362,19.7955,1.9794,
2609.68243,-12.62757,1.2152,1.0768,0.5922,0.5248,19.0355,0.9620,
2609.68937,-12.62063,3.0251,1.0958,1.4743,0.5340,18.0453,0.3933,
2609.69631,-12.61369,1.3123,1.0839,0.6396,0.5282,18.9521,0.8967,
2609.70326,-12.60674,2.5501,1.0868,1.2428,0.5297,18.2308,0.4627,
2609.71020,-12.59980,2.1166,1.0964,1.0315,0.5343,18.4331,0.5624,
2609.71715,-12.59285,1.1812,1.0740,0.5757,0.5234,19.0664,0.9872,
2609.72409,-12.58591,2.1166,1.0777,1.0315,0.5252,18.4331,0.5528,
2609.73798,-12.57202,2.0714,1.0635,1.0095,0.5183,18.4566,0.5575,
2609.74493,-12.56507,2.2722,1.0864,1.1074,0.5294,18.3561,0.5191,
2609.75882,-12.55118,1.0327,1.0642,0.5033,0.5186,19.2123,1.1188,
2609.76576,-12.54424,2.5009,1.0672,1.2188,0.5201,18.2520,0.4633,
2609.77271,-12.53729,0.8002,1.0599,0.3900,0.5165,19.4891,1.4380,
2609.77965,-12.53035,1.4249,1.1118,0.6944,0.5419,18.8628,0.8472,
2609.80743,-12.50257,-0.4513,1.0859,-0.2199,0.5292,20.9971,,
2609.82826,-12.48174,0.9325,1.0738,0.4545,0.5233,19.3231,1.2502,
2609.83521,-12.47479,3.7596,1.0272,1.8322,0.5006,17.8093,0.2966,
2609.84215,-12.46785,2.8191,1.0083,1.3739,0.4914,18.1219,0.3883,
2609.84910,-12.46090,2.2303,1.0012,1.0869,0.4879,18.3763,0.4874,
2609.85604,-12.45396,1.3195,1.0020,0.6431,0.4883,18.9462,0.8245,
2609.86299,-12.44701,2.1960,0.9960,1.0702,0.4854,18.3931,0.4924,
2609.86993,-12.44007,1.4969,0.9971,0.7295,0.4860,18.8092,0.7232,
2609.87688,-12.43312,-0.4148,0.9843,-0.2021,0.4797,20.9971,,
2609.88382,-12.42618,1.1609,0.9857,0.5658,0.4804,19.0852,0.9219,
2609.89077,-12.41923,2.0617,0.9783,1.0048,0.4768,18.4616,0.5152,
2609.89771,-12.41229,3.8218,0.9794,1.8626,0.4773,17.7915,0.2782,
2609.90466,-12.40534,0.4861,0.9822,0.2369,0.4787,20.0303,2.1937,
2609.91160,-12.39840,3.0494,0.9649,1.4861,0.4703,18.0367,0.3436,
2609.91854,-12.39146,4.0439,1.1230,1.9708,0.5473,17.7302,0.3015,
2609.92549,-12.38451,3.2269,0.9658,1.5726,0.4707,17.9752,0.3249,
2609.93243,-12.37757,3.2897,1.1092,1.6032,0.5406,17.9543,0.3661,
2609.93938,-12.37062,1.0017,0.9516,0.4882,0.4638,19.2454,1.0315,
2609.94632,-12.36368,2.6204,0.9536,1.2771,0.4647,18.2013,0.3951,
2609.95327,-12.35673,2.9882,1.1118,1.4563,0.5418,18.0587,0.4040,
2609.96021,-12.34979,4.1659,1.1260,2.0302,0.5487,17.6979,0.2935,
2609.96716,-12.34284,1.7602,0.9414,0.8579,0.4588,18.6333,0.5807,
2609.97410,-12.33590,1.2469,0.9484,0.6077,0.4622,19.0077,0.8258,
2609.98105,-12.32895,3.0074,1.1109,1.4656,0.5414,18.0517,0.4011,
2609.98799,-12.32201,2.0865,1.1117,1.0169,0.5418,18.4486,0.5785,
2609.99494,-12.31506,3.0758,1.0995,1.4990,0.5358,18.0273,0.3881,
2610.00188,-12.30812,0.3958,0.9375,0.1929,0.4569,20.2535,2.5717,
2610.00882,-12.30118,1.8382,1.1189,0.8958,0.5453,18.5862,0.6609,
2610.01577,-12.29423,2.3010,1.1084,1.1214,0.5402,18.3424,0.5230,
2610.02271,-12.28729,-0.3929,0.9993,-0.1915,0.4870,20.9971,,
2610.02966,-12.28034,0.2722,0.9926,0.1327,0.4838,20.6599,3.9592,
2610.03660,-12.27340,2.8526,1.1080,1.3902,0.5400,18.1091,0.4217,
2610.04355,-12.26645,0.9888,0.9288,0.4819,0.4527,19.2595,1.0199,
2610.05049,-12.25951,-0.3186,0.9885,-0.1553,0.4818,20.9971,,
2610.05744,-12.25256,2.6617,1.0849,1.2972,0.5287,18.1843,0.4426,
2610.06438,-12.24562,1.5054,0.9259,0.7337,0.4512,18.8030,0.6677,
2610.07133,-12.23867,-0.1624,0.9780,-0.0792,0.4766,20.9971,,
2610.07827,-12.23173,1.0923,0.9430,0.5323,0.4596,19.1513,0.9374,
2610.08522,-12.22478,2.0951,0.9788,1.0211,0.4770,18.4442,0.5072,
2610.09216,-12.21784,0.8953,0.9761,0.4363,0.4757,19.3673,1.1838,
2610.09911,-12.21089,-0.9173,0.9807,-0.4470,0.4779,20.9971,,
2610.10605,-12.20395,0.9339,0.9781,0.4551,0.4767,19.3214,1.1372,
2610.11300,-12.19700,0.2007,0.9616,0.0978,0.4686,20.9908,5.2019,
2610.11994,-12.19006,0.3903,0.9583,0.1902,0.4670,20.2688,2.6660,
2610.12688,-12.18312,-0.4245,0.9574,-0.2069,0.4666,20.9971,,
2610.13383,-12.17617,1.1791,0.9698,0.5746,0.4726,19.0683,0.8930,
2610.14077,-12.16923,1.0241,0.9563,0.4991,0.4660,19.2213,1.0138,
2610.14772,-12.16228,1.4158,0.9555,0.6900,0.4657,18.8697,0.7328,
2610.15466,-12.15534,1.3552,0.9588,0.6605,0.4673,18.9172,0.7681,
2610.16161,-12.14839,0.4910,0.9602,0.2393,0.4680,20.0194,2.1231,
2610.16855,-12.14145,2.0661,0.9565,1.0069,0.4662,18.4593,0.5027,
2610.17550,-12.13450,0.7856,0.9437,0.3829,0.4599,19.5092,1.3042,
2610.18244,-12.12756,-0.1056,0.9471,-0.0515,0.4616,20.9971,,
2610.18939,-12.12061,1.3958,0.9473,0.6802,0.4617,18.8852,0.7369,
2610.19633,-12.11367,0.0499,0.9393,0.0243,0.4578,20.9971,,
2610.20328,-12.10672,0.5546,0.9456,0.2703,0.4608,19.8872,1.8511,
2610.21022,-12.09978,0.1971,0.9420,0.0961,0.4591,20.9971,,
2610.21716,-12.09284,1.3705,0.9387,0.6679,0.4575,18.9050,0.7436,
2610.22411,-12.08589,0.2685,0.9430,0.1309,0.4596,20.6747,3.8127,
2610.23105,-12.07895,0.8100,0.9482,0.3947,0.4621,19.4760,1.2710,
2610.23800,-12.07200,0.7969,0.9450,0.3883,0.4605,19.4937,1.2875,
2610.24494,-12.06506,0.0960,0.9463,0.0468,0.4612,20.9971,,
2610.25189,-12.05811,0.5230,0.9446,0.2549,0.4604,19.9510,1.9612,
2610.25883,-12.05117,1.1172,0.9441,0.5445,0.4601,19.1269,0.9175,
2610.26578,-12.04422,0.8113,0.9442,0.3954,0.4602,19.4743,1.2636,
2610.27272,-12.03728,0.7222,0.9404,0.3520,0.4583,19.6005,1.4137,
2610.27967,-12.03033,0.0419,0.9512,0.0204,0.4635,20.9971,,
2610.28661,-12.02339,-0.2567,0.9481,-0.1251,0.4621,20.9971,,
2610.29356,-12.01644,0.5826,0.9416,0.2839,0.4589,19.8338,1.7549,
2610.30050,-12.00950,1.4536,0.9346,0.7084,0.4555,18.8411,0.6981,
2610.30745,-12.00255,1.4356,0.9505,0.6996,0.4632,18.8546,0.7189,
2610.31439,-11.99561,0.7602,0.9348,0.3705,0.4556,19.5448,1.3350,
2610.32134,-11.98866,0.7927,0.9408,0.3863,0.4585,19.4994,1.2886,
2610.32828,-11.98172,0.3382,0.9365,0.1648,0.4564,20.4243,3.0066,
2610.33522,-11.97478,0.9837,0.9368,0.4794,0.4566,19.2650,1.0340,
2610.34217,-11.96783,0.7080,0.9344,0.3450,0.4554,19.6221,1.4329,
2610.34911,-11.96089,0.7360,0.9274,0.3587,0.4519,19.5799,1.3679,
2610.35606,-11.95394,-0.3431,0.9338,-0.1672,0.4551,20.9971,,
2610.36300,-11.94700,1.2933,0.9270,0.6303,0.4518,18.9680,0.7782,
2610.36995,-11.94005,0.9828,0.9403,0.4790,0.4583,19.2660,1.0388,
2610.37689,-11.93311,1.0822,0.9307,0.5274,0.4536,19.1615,0.9338,
2610.38384,-11.92616,1.3964,0.9314,0.6805,0.4539,18.8847,0.7241,
2610.39078,-11.91922,1.0001,0.9238,0.4874,0.4502,19.2471,1.0029,
2610.39773,-11.91227,0.5338,0.9159,0.2602,0.4464,19.9287,1.8628,
2610.40467,-11.90533,-0.0448,0.9074,-0.0219,0.4422,20.9971,,
2610.41162,-11.89838,0.8571,1.0004,0.4177,0.4876,19.4146,1.2673,
2610.41856,-11.89144,0.8882,0.9112,0.4329,0.4441,19.3759,1.1138,
2610.42551,-11.88449,1.7039,0.9185,0.8304,0.4476,18.6686,0.5853,
2610.43245,-11.87755,-0.3919,0.9173,-0.1910,0.4470,20.9971,,
2610.43939,-11.87061,0.1882,0.9932,0.0917,0.4840,20.9971,,
2610.44634,-11.86366,0.7798,0.9880,0.3800,0.4815,19.5173,1.3757,
2610.45328,-11.85672,0.9593,0.8980,0.4675,0.4376,19.2923,1.0163,
2610.46023,-11.84977,-1.2865,0.8929,-0.6270,0.4352,20.9971,,
2610.46717,-11.84283,0.1722,0.9870,0.0839,0.4810,20.9971,,
2610.47412,-11.83588,0.4189,0.9854,0.2042,0.4802,20.1918,2.5536,
2610.48106,-11.82894,0.6136,0.9895,0.2991,0.4822,19.7774,1.7507,
2610.48801,-11.82199,1.3557,0.9898,0.6607,0.4824,18.9168,0.7927,
2610.49495,-11.81505,-0.1378,0.8931,-0.0672,0.4352,20.9971,,
2610.50190,-11.80810,1.1224,0.9896,0.5470,0.4823,19.1218,0.9573,
2610.50884,-11.80116,-0.4505,0.9811,-0.2195,0.4781,20.9971,,
2610.51579,-11.79421,-0.2261,0.9736,-0.1102,0.4745,20.9971,,
2610.52273,-11.78727,-0.2623,0.9775,-0.1279,0.4764,20.9971,,
2610.52967,-11.78033,0.2874,0.9740,0.1400,0.4747,20.6011,3.6798,
2610.53662,-11.77338,-1.0289,0.9836,-0.5014,0.4793,20.9971,,
2610.54356,-11.76644,1.3207,0.9847,0.6437,0.4799,18.9452,0.8095,
2610.55051,-11.75949,-0.2419,0.9899,-0.1179,0.4824,20.9971,,
2610.55745,-11.75255,-1.1770,0.9986,-0.5736,0.4867,20.9971,,
2610.56440,-11.74560,-0.2254,0.9863,-0.1099,0.4807,20.9971,,
2610.57134,-11.73866,0.6267,0.9847,0.3054,0.4799,19.7546,1.7060,
2610.57829,-11.73171,-0.7212,0.9784,-0.3515,0.4768,20.9971,,
2610.58523,-11.72477,1.1233,0.9771,0.5474,0.4762,19.1209,0.9444,
2610.59218,-11.71782,-0.9477,0.9754,-0.4619,0.4754,20.9971,,
