BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2609.14420,-19.50580,-2.4918,1.6867,-1.8865,1.2770,20.5199,,
2609.17892,-19.47108,-1.5300,1.6298,-1.1584,1.2339,20.5199,,
2609.18587,-19.46413,-1.8551,1.6125,-1.4045,1.2208,20.5199,,
2609.19976,-19.45024,-2.9689,1.6008,-2.2477,1.2119,20.5199,,
2609.20670,-19.44330,-1.0649,1.5883,-0.8062,1.2025,20.5199,,
2609.22059,-19.42941,-3.7148,1.5740,-2.8125,1.1917,20.5199,,
2609.22753,-19.42247,1.1557,1.5663,0.8750,1.1858,19.0901,1.4714,
2609.23448,-19.41552,0.5920,1.5574,0.4482,1.1791,19.8164,2.8562,
2609.24142,-19.40858,-0.6412,1.5481,-0.4855,1.1720,20.5199,,
2609.24837,-19.40163,0.6329,1.5451,0.4792,1.1698,19.7438,2.6505,
2609.25531,-19.39469,-3.1610,1.5372,-2.3932,1.1638,20.5199,,
2609.26226,-19.38774,-2.3143,1.5232,-1.7521,1.1532,20.5199,,
2609.26920,-19.38080,-0.7261,1.5128,-0.5497,1.1453,20.5199,,
2609.29003,-19.35997,-1.0177,1.4855,-0.7705,1.1247,20.5199,,
2609.32476,-19.32524,-2.6769,1.4190,-2.0267,1.0743,20.5199,,
2609.33170,-19.31830,-2.4047,1.4487,-1.8206,1.0968,20.5199,,
2609.36642,-19.28358,1.0072,1.3289,0.7626,1.0061,19.2394,1.4325,
2609.37337,-19.27663,0.7133,1.3483,0.5400,1.0208,19.6141,2.0524,
2609.38726,-19.26274,-0.8718,1.3179,-0.6601,0.9978,20.5199,,
2609.39420,-19.25580,0.7368,1.2993,0.5578,0.9837,19.5788,1.9145,
2609.40115,-19.24885,-0.7350,1.2847,-0.5565,0.9726,20.5199,,
2609.42198,-19.22802,-0.5435,1.2177,-0.4115,0.9219,20.5199,,
2609.42892,-19.22108,1.6728,1.2072,1.2664,0.9140,18.6886,0.7836,
2609.43587,-19.21413,-1.9990,1.2275,-1.5135,0.9293,20.5199,,
2609.44281,-19.20719,0.6647,1.2304,0.5033,0.9315,19.6906,2.0097,
2609.44976,-19.20024,-1.8130,1.2137,-1.3726,0.9189,20.5199,,
2609.45670,-19.19330,0.0516,1.2098,0.0391,0.9160,20.5199,,
2609.46365,-19.18635,-1.8763,1.2052,-1.4206,0.9124,20.5199,,
2609.47059,-19.17941,-0.4734,1.1984,-0.3584,0.9073,20.5199,,
2609.47753,-19.17247,0.2367,1.1952,0.1792,0.9049,20.5199,,
2609.48448,-19.16552,0.5081,1.1647,0.3847,0.8818,19.9823,2.4886,
2609.49142,-19.15858,0.4236,1.1846,0.3207,0.8968,20.1799,3.0365,
