BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2614.87025,-8.51975,-0.7280,1.1047,-0.7574,1.1494,20.8631,,
2614.87720,-8.51280,-1.4946,1.1036,-1.5551,1.1483,20.8631,,
2614.88414,-8.50586,-0.8791,1.1022,-0.9147,1.1468,20.8631,,
2614.89109,-8.49891,-1.8347,1.1030,-1.9090,1.1477,20.8631,,
2614.89803,-8.49197,-0.2679,1.1031,-0.2787,1.1477,20.8631,,
2614.90498,-8.48502,-0.2219,1.1024,-0.2309,1.1470,20.8631,,
2614.91192,-8.47808,-0.0806,1.1062,-0.0839,1.1510,20.8631,,
2614.91886,-8.47114,-1.1917,1.1048,-1.2400,1.1496,20.8631,,
2614.92581,-8.46419,1.6737,1.1083,1.7414,1.1531,18.6880,0.7189,
2614.93275,-8.45725,-0.1273,1.1053,-0.1324,1.1500,20.8631,,
2614.93970,-8.45030,1.0060,1.1044,1.0467,1.1491,19.2407,1.1920,
2614.94664,-8.44336,-0.7145,1.1053,-0.7435,1.1500,20.8631,,
2614.95359,-8.43641,1.1092,1.1056,1.1541,1.1503,19.1347,1.0822,
2614.96053,-8.42947,0.7261,1.1064,0.7555,1.1512,19.5946,1.6543,
2614.96748,-8.42252,0.4942,1.1071,0.5142,1.1519,20.0124,2.4320,
2614.97442,-8.41558,1.8841,1.1086,1.9604,1.1534,18.5594,0.6388,
2614.98136,-8.40864,0.2748,1.1073,0.2859,1.1521,20.6496,4.3749,
2614.98831,-8.40169,0.7854,1.1050,0.8172,1.1498,19.5094,1.5275,
2614.99525,-8.39475,-0.5230,1.1070,-0.5441,1.1518,20.8631,,
2615.00220,-8.38780,3.2109,1.1081,3.3409,1.1530,17.9806,0.3747,
2615.00914,-8.38086,2.3729,1.1063,2.4689,1.1511,18.3090,0.5062,
2615.01609,-8.37391,1.9115,1.1065,1.9888,1.1512,18.5438,0.6285,
2615.02303,-8.36697,0.7971,1.1072,0.8294,1.1520,19.4933,1.5080,
2615.02998,-8.36002,0.0193,1.1051,0.0201,1.1498,20.8631,,
