BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2628.20071,4.81071,1.19861,0.31417,1.24712,0.32688,19.21146,0.46662,
2628.44929,5.05929,0.73581,0.19170,0.76560,0.19946,19.73358,0.33694,
2628.69295,5.30295,0.56201,0.18489,0.58476,0.19237,19.85949,0.38571,
2628.94295,5.55295,0.60790,0.18322,0.63251,0.19064,19.79831,0.42121,
2629.19294,5.80294,0.47789,0.18224,0.49724,0.18961,19.92909,0.39991,
2629.43707,6.04707,0.52174,0.20231,0.54286,0.21050,19.93931,0.36972,
2629.69521,6.30521,0.53411,0.18435,0.55572,0.19182,19.89767,0.40284,
2629.94292,6.55292,0.36549,0.18120,0.38029,0.18853,20.00295,0.42141,
2630.19291,6.80291,0.63746,0.18045,0.66326,0.18776,19.82306,0.40482,
2630.44290,7.05290,0.37822,0.18080,0.39353,0.18812,20.07072,0.48973,
2630.69290,7.30290,0.29936,0.18095,0.31148,0.18828,20.06536,0.44733,
2630.94289,7.55289,0.31726,0.18085,0.33011,0.18817,20.10160,0.38229,
2631.19288,7.80288,0.48517,0.18064,0.50481,0.18795,19.97093,0.39412,
2631.44288,8.05288,0.22905,0.18075,0.23832,0.18807,20.19721,0.58498,
2631.69287,8.30287,0.27091,0.18062,0.28188,0.18793,20.14317,0.48842,
2631.94286,8.55286,0.31636,0.17990,0.32917,0.18718,20.07215,0.39312,
2632.19285,8.80285,0.32016,0.18008,0.33312,0.18736,19.96651,0.33839,
2632.44284,9.05284,0.41738,0.18029,0.43426,0.18758,20.05009,0.53413,
2632.69283,9.30283,0.35025,0.18048,0.36443,0.18779,20.01579,0.39429,
2632.94283,9.55283,0.30319,0.18016,0.31546,0.18745,20.16313,0.38477,
2633.19282,9.80282,0.26007,0.17987,0.27060,0.18715,20.13891,0.48780,
2633.44281,10.05281,0.52656,0.18004,0.54787,0.18732,20.05866,0.48119,
2633.69280,10.30280,0.41053,0.17933,0.42715,0.18659,19.96994,0.35186,
2633.94279,10.55279,0.60685,0.17928,0.63141,0.18654,19.75850,0.31146,
2634.19278,10.80278,0.91521,0.17926,0.95224,0.18651,19.59516,0.31748,
2634.44277,11.05277,0.41805,0.17938,0.43498,0.18664,19.90154,0.36605,
2634.69276,11.30276,0.45670,0.18013,0.47519,0.18742,20.06106,0.50789,
2634.94275,11.55275,0.62283,0.18029,0.64803,0.18759,19.82688,0.39709,
2635.19274,11.80274,0.56745,0.18054,0.59041,0.18785,19.86701,0.38160,
2635.44273,12.05273,0.90344,0.18084,0.94000,0.18816,19.60052,0.36158,
2635.69272,12.30272,1.09001,0.18017,1.13411,0.18746,19.33831,0.19167,
2635.90452,12.51452,0.78152,0.21687,0.81314,0.22564,19.73630,0.55860,
