BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2624.75203,0.12203,-1.07172,0.18943,-1.09042,0.19273,19.99790,1.51019,
2625.00550,0.37550,-0.46901,0.17269,-0.47719,0.17570,19.90323,0.59370,
2625.25550,0.62550,-0.47405,0.16549,-0.48233,0.16837,19.94631,0.66764,
2625.50203,0.87203,-0.29535,0.14914,-0.30051,0.15174,19.90268,0.49674,
2625.75203,1.12203,-0.18630,0.14479,-0.18955,0.14731,19.82506,0.34025,
2626.00203,1.37203,-0.58372,0.13992,-0.59390,0.14236,19.98876,0.84523,
2626.25203,1.62203,-0.13168,0.13783,-0.13397,0.14024,19.91111,0.50063,
2626.50203,1.87203,0.07480,0.13037,0.07610,0.13264,19.83384,0.32067,
2626.75203,2.12203,0.13328,0.13339,0.13560,0.13572,19.81746,0.31568,
2627.00203,2.37203,0.09010,0.13481,0.09166,0.13716,19.82565,0.34697,
2627.25203,2.62203,0.29717,0.14070,0.30235,0.14316,19.80269,0.31482,
2627.50203,2.87203,0.33103,0.12540,0.33681,0.12759,19.75998,0.27212,
2627.75203,3.12203,0.25484,0.12687,0.25928,0.12908,19.75367,0.26934,
2628.00203,3.37203,0.36456,0.12462,0.37094,0.12680,19.68563,0.23240,
2628.25203,3.62203,0.11316,0.12233,0.11513,0.12446,19.80790,0.29571,
2628.50203,3.87203,0.14587,0.11696,0.14840,0.11900,19.74726,0.24939,
2628.75203,4.12203,0.23923,0.11663,0.24340,0.11867,19.74979,0.23979,
2629.00203,4.37203,0.15853,0.11678,0.16128,0.11882,19.82749,0.29988,
2629.25203,4.62203,0.30283,0.11981,0.30813,0.12190,19.74611,0.26852,
2629.50774,4.87774,-0.06718,0.13184,-0.06837,0.13415,19.87723,0.38651,
2629.75203,5.12203,0.15089,0.11562,0.15353,0.11764,19.74292,0.25040,
2630.00203,5.37203,0.10632,0.11515,0.10816,0.11716,19.78514,0.24056,
2630.25203,5.62203,0.24614,0.11216,0.25043,0.11412,19.78204,0.25457,
2630.50203,5.87203,0.15984,0.11312,0.16264,0.11509,19.80319,0.25948,
2630.75203,6.12203,0.17051,0.11296,0.17349,0.11493,19.79483,0.26849,
2631.00203,6.37203,0.27242,0.11233,0.27719,0.11429,19.74576,0.24259,
2631.25203,6.62203,0.43957,0.11277,0.44724,0.11474,19.72998,0.24524,
2631.50203,6.87203,0.21332,0.11106,0.21704,0.11300,19.81452,0.26472,
2631.75203,7.12203,0.18321,0.11316,0.18643,0.11514,19.67382,0.21077,
2632.00203,7.37203,0.18705,0.11690,0.19031,0.11894,19.79017,0.27866,
2632.25203,7.62203,0.46817,0.11794,0.47634,0.12000,19.63098,0.19276,
2632.50203,7.87203,0.40313,0.11644,0.41016,0.11848,19.72451,0.22565,
2632.75203,8.12203,0.47614,0.11634,0.48447,0.11837,19.61888,0.19242,
2633.00203,8.37203,0.59514,0.11718,0.60551,0.11922,19.58902,0.18917,
2633.25203,8.62203,0.33188,0.11400,0.33768,0.11599,19.68113,0.20615,
2633.50203,8.87203,0.60343,0.11153,0.61396,0.11348,19.55514,0.17450,
2633.75203,9.12203,0.91174,0.11200,0.92766,0.11395,19.36003,0.15392,
2634.00203,9.37203,0.61703,0.11320,0.62779,0.11517,19.60146,0.19872,
2634.25203,9.62203,0.74217,0.11358,0.75512,0.11556,19.49374,0.16880,
2634.50202,9.87203,0.87194,0.11671,0.88716,0.11875,19.35378,0.15348,
2634.75202,10.12202,0.67902,0.11589,0.69087,0.11791,19.52935,0.17541,
2635.00550,10.37550,0.64333,0.11581,0.65457,0.11783,19.54366,0.17917,
2635.25897,10.62897,0.82203,0.11507,0.83636,0.11708,19.48767,0.17296,
2635.50896,10.87896,0.96538,0.11544,0.98222,0.11745,19.34043,0.14885,
2635.75896,11.12896,0.87922,0.11259,0.89457,0.11456,19.34478,0.13843,
2635.93604,11.30604,1.07483,0.17373,1.09359,0.17676,19.31487,0.23440,
