BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2647.01259,0.12259,0.10938,0.14737,0.10051,0.13542,19.97034,0.41722,
2647.26606,0.37606,-0.04488,0.14852,-0.04123,0.13647,20.03788,0.44445,
2647.51606,0.62606,0.18292,0.15199,0.16809,0.13967,19.90260,0.36912,
2647.76259,0.87259,0.32967,0.14798,0.30292,0.13598,19.81935,0.30573,
2648.01259,1.12259,0.59959,0.14702,0.55097,0.13510,19.60222,0.23830,
2648.26259,1.37259,0.52392,0.14592,0.48143,0.13409,19.70408,0.26427,
2648.51030,1.62030,0.41656,0.15311,0.38276,0.14069,19.70335,0.23594,
2648.76422,1.87422,0.55024,0.15301,0.50561,0.14060,19.67061,0.26042,
2649.01725,2.12725,0.72125,0.16547,0.66276,0.15205,19.58042,0.24371,
2649.24390,2.35390,0.86429,0.19490,0.79420,0.17909,19.44780,0.28931,
2649.48364,2.59364,0.88853,0.29765,0.81646,0.27351,19.49836,0.48656,
