BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2644.43134,-0.98866,2.9116,0.9382,2.2241,0.7166,18.0869,0.3498,
2644.44523,-0.97477,0.7809,0.9298,0.5965,0.7103,19.5157,1.2928,
2644.46606,-0.95394,-0.7528,0.9101,-0.5750,0.6952,20.2917,,
2644.47301,-0.94699,-1.3059,0.8901,-0.9975,0.6799,20.2917,,
2644.47995,-0.94005,-0.7339,0.9251,-0.5606,0.7066,20.2917,,
2644.48690,-0.93310,0.5765,0.9190,0.4403,0.7020,19.8453,1.7309,
2644.49384,-0.92616,0.9140,0.9229,0.6981,0.7050,19.3449,1.0964,
2644.51468,-0.90532,0.1248,0.9250,0.0953,0.7065,20.2917,,
2644.52162,-0.89838,-0.0008,0.9234,-0.0006,0.7053,20.2917,,
2644.52856,-0.89144,1.6525,0.9057,1.2623,0.6918,18.7019,0.5951,
2644.53551,-0.88449,0.6060,0.9117,0.4629,0.6964,19.7910,1.6335,
2644.54245,-0.87755,0.2395,0.9099,0.1829,0.6950,20.2917,,
2644.55634,-0.86366,1.3775,0.9251,1.0522,0.7067,18.8994,0.7292,
2644.57023,-0.84977,0.4614,0.9140,0.3524,0.6982,20.0871,2.1509,
2644.57717,-0.84283,0.1765,0.9162,0.1348,0.6998,20.2917,,
2644.58412,-0.83588,0.4964,0.9082,0.3792,0.6937,20.0076,1.9863,
2644.59106,-0.82894,0.2166,0.9133,0.1654,0.6976,20.2917,,
2644.60495,-0.81505,1.7157,0.8997,1.3105,0.6872,18.6611,0.5694,
2644.61190,-0.80810,0.9851,0.9071,0.7525,0.6929,19.2635,0.9997,
2644.61884,-0.80116,0.0181,0.9124,0.0138,0.6970,20.2917,,
2644.62579,-0.79421,0.2850,0.9095,0.2177,0.6947,20.2917,,
2644.63273,-0.78727,1.4725,0.9079,1.1248,0.6935,18.8271,0.6694,
2644.63967,-0.78033,1.4717,0.8967,1.1241,0.6850,18.8277,0.6616,
2644.64662,-0.77338,0.4199,0.8933,0.3208,0.6823,20.1893,2.3096,
2644.65356,-0.76644,-0.7079,0.8851,-0.5408,0.6761,20.2917,,
2644.66051,-0.75949,-0.6862,0.8827,-0.5242,0.6743,20.2917,,
2644.66745,-0.75255,-0.1293,0.8845,-0.0988,0.6756,20.2917,,
2644.67440,-0.74560,0.1884,0.8915,0.1439,0.6810,20.2917,,
2644.68134,-0.73866,0.8006,0.9053,0.6115,0.6915,19.4887,1.2278,
2644.68829,-0.73171,0.5787,0.8760,0.4420,0.6692,19.8411,1.6436,
2644.69523,-0.72477,-0.6261,0.8828,-0.4782,0.6743,20.2917,,
2644.70217,-0.71783,-0.1350,0.8789,-0.1031,0.6713,20.2917,,
2644.70912,-0.71088,-0.6123,0.8859,-0.4677,0.6767,20.2917,,
2644.71606,-0.70394,0.1733,0.9004,0.1324,0.6878,20.2917,,
2644.72301,-0.69699,-0.9946,0.8860,-0.7597,0.6768,20.2917,,
2644.72995,-0.69005,1.0804,0.8741,0.8253,0.6677,19.1632,0.8784,
2644.73690,-0.68310,-0.7477,0.8658,-0.5712,0.6614,20.2917,,
2644.74384,-0.67616,0.6445,0.8944,0.4923,0.6832,19.7241,1.5066,
2644.75079,-0.66921,-1.1561,0.8936,-0.8831,0.6826,20.2917,,
2644.75773,-0.66227,0.6789,0.8855,0.5186,0.6764,19.6677,1.4160,
2644.76467,-0.65533,0.2392,0.8865,0.1828,0.6772,20.2917,,
2644.77162,-0.64838,0.0887,0.8913,0.0678,0.6808,20.2917,,
2644.77856,-0.64144,1.1557,0.8898,0.8828,0.6797,19.0901,0.8360,
2644.78551,-0.63449,-0.0760,0.8857,-0.0580,0.6765,20.2917,,
2644.79245,-0.62755,-0.4386,0.8831,-0.3350,0.6746,20.2917,,
2644.79940,-0.62060,0.5715,0.8879,0.4365,0.6782,19.8547,1.6870,
2644.80634,-0.61366,0.0047,0.8900,0.0036,0.6798,20.2917,,
2644.81328,-0.60672,-2.0009,0.8943,-1.5284,0.6831,20.2917,,
2644.82023,-0.59977,0.3236,0.8970,0.2472,0.6851,20.2917,,
2644.82717,-0.59283,-2.2917,0.8868,-1.7506,0.6774,20.2917,,
2644.83412,-0.58588,-0.5697,0.8815,-0.4351,0.6733,20.2917,,
2644.84106,-0.57894,-1.7415,0.8914,-1.3302,0.6809,20.2917,,
2644.84801,-0.57199,0.3323,0.8961,0.2538,0.6845,20.2917,,
2644.85495,-0.56505,-0.1144,0.8901,-0.0874,0.6799,20.2917,,
2644.86190,-0.55810,1.1918,0.8833,0.9104,0.6747,19.0567,0.8047,
2644.86884,-0.55116,-0.8983,0.8840,-0.6862,0.6753,20.2917,,
2644.87578,-0.54422,0.7763,0.9000,0.5930,0.6875,19.5221,1.2588,
2644.88273,-0.53727,-0.3144,0.8827,-0.2401,0.6742,20.2917,,
2644.88967,-0.53033,0.0843,0.8774,0.0644,0.6702,20.2917,,
2644.89662,-0.52338,0.2003,0.8771,0.1530,0.6700,20.2917,,
2644.90356,-0.51644,-0.5488,0.8764,-0.4192,0.6694,20.2917,,
2644.91051,-0.50949,0.1282,0.8857,0.0979,0.6766,20.2917,,
2644.91745,-0.50255,1.6952,0.8696,1.2949,0.6643,18.6741,0.5570,
2644.92440,-0.49560,0.9988,0.8625,0.7630,0.6588,19.2485,0.9375,
2644.93134,-0.48866,-0.1472,0.8847,-0.1124,0.6758,20.2917,,
2644.93828,-0.48172,-0.4481,0.8745,-0.3423,0.6680,20.2917,,
2644.94523,-0.47477,1.0076,0.8611,0.7697,0.6577,19.2390,0.9279,
2644.95217,-0.46783,-0.7010,0.8959,-0.5355,0.6843,20.2917,,
2644.95912,-0.46088,-0.9194,0.8644,-0.7023,0.6603,20.2917,,
2644.96606,-0.45394,-0.6544,0.8861,-0.4999,0.6769,20.2917,,
2644.97301,-0.44699,0.1272,0.8787,0.0972,0.6712,20.2917,,
2644.97995,-0.44005,0.7305,0.8824,0.5580,0.6740,19.5882,1.3115,
2644.98690,-0.43310,-0.8076,0.8654,-0.6169,0.6611,20.2917,,
2644.99384,-0.42616,1.4104,0.8734,1.0774,0.6671,18.8738,0.6723,
2645.00078,-0.41922,-0.2415,0.8780,-0.1845,0.6707,20.2917,,
2645.00773,-0.41227,-0.5519,0.8542,-0.4216,0.6525,20.2917,,
2645.01467,-0.40533,0.1580,0.8773,0.1207,0.6701,20.2917,,
2645.02162,-0.39838,-0.7298,0.8742,-0.5575,0.6678,20.2917,,
2645.02856,-0.39144,-0.5164,0.8677,-0.3944,0.6628,20.2917,,
2645.03551,-0.38449,0.3017,0.8574,0.2305,0.6549,20.2917,,
2645.04245,-0.37755,0.6016,0.8433,0.4595,0.6442,19.7989,1.5219,
2645.04939,-0.37061,0.3711,0.8701,0.2835,0.6646,20.2917,,
2645.05634,-0.36366,-0.4482,0.8447,-0.3424,0.6452,20.2917,,
2645.06328,-0.35672,0.1795,0.8450,0.1371,0.6455,20.2917,,
2645.07023,-0.34977,-0.4845,0.8696,-0.3701,0.6643,20.2917,,
2645.07717,-0.34283,-0.2994,0.8520,-0.2287,0.6508,20.2917,,
2645.08412,-0.33588,-1.1934,0.8622,-0.9116,0.6586,20.2917,,
2645.09106,-0.32894,0.1443,0.8544,0.1102,0.6526,20.2917,,
2645.09801,-0.32199,0.1711,0.8580,0.1307,0.6554,20.2917,,
2645.10495,-0.31505,0.6637,0.8630,0.5070,0.6592,19.6922,1.4118,
2645.11189,-0.30811,-0.9157,0.8479,-0.6995,0.6476,20.2917,,
2645.11884,-0.30116,1.3833,0.8571,1.0566,0.6547,18.8949,0.6727,
2645.12578,-0.29422,-0.2653,0.8485,-0.2027,0.6481,20.2917,,
2645.13273,-0.28727,1.0266,0.8481,0.7842,0.6478,19.2187,0.8969,
2645.13967,-0.28033,-1.5391,0.8512,-1.1757,0.6502,20.2917,,
2645.14662,-0.27338,0.1369,0.8548,0.1046,0.6529,20.2917,,
2645.15356,-0.26644,-0.5220,0.8470,-0.3987,0.6470,20.2917,,
2645.16051,-0.25949,-0.1191,0.8350,-0.0909,0.6378,20.2917,,
2645.16745,-0.25255,0.4377,0.8285,0.3343,0.6328,20.1442,2.0551,
2645.17439,-0.24561,0.1203,0.8495,0.0919,0.6489,20.2917,,
2645.18134,-0.23866,0.4458,0.8342,0.3405,0.6372,20.1244,2.0319,
2645.18828,-0.23172,-1.6674,0.8722,-1.2737,0.6662,20.2917,,
2645.19523,-0.22477,-1.1753,0.8252,-0.8977,0.6303,20.2917,,
2645.20217,-0.21783,-1.3177,0.8337,-1.0066,0.6368,20.2917,,
2645.20912,-0.21088,0.8599,0.8336,0.6569,0.6367,19.4111,1.0525,
2645.21606,-0.20394,0.0165,0.8513,0.0126,0.6503,20.2917,,
2645.22301,-0.19699,-0.9484,0.8282,-0.7244,0.6326,20.2917,,
2645.22995,-0.19005,0.0118,0.8456,0.0090,0.6459,20.2917,,
2645.23689,-0.18311,0.2314,0.8403,0.1768,0.6419,20.2917,,
2645.24384,-0.17616,-0.6378,0.8523,-0.4872,0.6510,20.2917,,
2645.25078,-0.16922,1.1738,0.8451,0.8966,0.6455,19.0732,0.7817,
2645.25773,-0.16227,0.8092,0.8410,0.6181,0.6424,19.4770,1.1284,
2645.26467,-0.15533,0.4937,0.8268,0.3771,0.6316,20.0136,1.8186,
2645.27162,-0.14838,1.5441,0.8422,1.1795,0.6433,18.7755,0.5922,
2645.27856,-0.14144,0.1533,0.8357,0.1171,0.6383,20.2917,,
2645.28550,-0.13450,0.7315,0.8280,0.5588,0.6325,19.5866,1.2290,
2645.29245,-0.12755,-0.9516,0.8383,-0.7268,0.6403,20.2917,,
2645.29939,-0.12061,-0.5865,0.8488,-0.4480,0.6483,20.2917,,
2645.30634,-0.11366,0.1043,0.8260,0.0797,0.6310,20.2917,,
2645.31328,-0.10672,-0.0908,0.8825,-0.0693,0.6741,20.2917,,
2645.32023,-0.09977,-1.0990,0.8686,-0.8395,0.6635,20.2917,,
2645.32717,-0.09283,-1.4003,0.8757,-1.0696,0.6689,20.2917,,
