BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2640.76534,-2.58466,0.0503,0.8894,0.0244,0.4317,20.1844,,
2640.80007,-2.54993,-2.1009,0.8947,-1.0198,0.4343,20.1844,,
2640.82785,-2.52215,-0.1591,0.8941,-0.0772,0.4340,20.1844,,
2640.86257,-2.48743,0.6008,0.8703,0.2916,0.4224,19.8004,1.5727,
2640.88340,-2.46660,-0.6835,0.8836,-0.3318,0.4289,20.1844,,
2640.91118,-2.43882,0.4736,0.8773,0.2299,0.4259,20.0588,2.0115,
2640.92507,-2.42493,-0.3041,0.8757,-0.1476,0.4251,20.1844,,
2640.93896,-2.41104,0.2394,0.8842,0.1162,0.4292,20.1844,,
2640.95285,-2.39715,0.4815,0.8839,0.2337,0.4290,20.0407,1.9930,
2640.95979,-2.39021,0.5536,0.8853,0.2687,0.4297,19.8892,1.7362,
2640.97368,-2.37632,-0.0320,0.8904,-0.0155,0.4322,20.1844,,
2641.04313,-2.30687,0.8667,0.8968,0.4207,0.4353,19.4025,1.1235,
2641.05702,-2.29298,-0.9665,0.8984,-0.4692,0.4361,20.1844,,
2641.06396,-2.28604,0.1047,0.8935,0.0508,0.4337,20.1844,,
2641.09868,-2.25132,1.6670,0.8809,0.8092,0.4276,18.6924,0.5737,
2641.10563,-2.24437,0.1375,0.9085,0.0667,0.4410,20.1844,,
2641.12646,-2.22354,-1.1919,0.9027,-0.5786,0.4382,20.1844,,
2641.13341,-2.21659,0.5888,0.9128,0.2858,0.4431,19.8223,1.6832,
2641.14035,-2.20965,-0.5553,0.8976,-0.2695,0.4357,20.1844,,
2641.15424,-2.19576,0.9113,0.8750,0.4423,0.4247,19.3481,1.0426,
2641.16119,-2.18881,-1.4620,0.9123,-0.7097,0.4428,20.1844,,
2641.16813,-2.18187,1.6426,0.9038,0.7973,0.4387,18.7084,0.5974,
2641.17507,-2.17493,0.4687,0.9122,0.2275,0.4428,20.0699,2.1131,
2641.18202,-2.16798,0.4590,0.9032,0.2228,0.4384,20.0926,2.1363,
2641.18896,-2.16104,0.6691,0.9145,0.3248,0.4439,19.6835,1.4839,
2641.19591,-2.15409,0.9872,0.9039,0.4792,0.4388,19.2612,0.9941,
2641.20285,-2.14715,1.5317,0.9114,0.7435,0.4424,18.7842,0.6460,
2641.20980,-2.14020,0.4038,0.8995,0.1960,0.4366,20.1844,,
2641.21674,-2.13326,0.7661,0.8940,0.3719,0.4340,19.5364,1.2669,
2641.23063,-2.11937,0.1078,0.9240,0.0523,0.4485,20.1844,,
2641.23758,-2.11242,0.0523,0.9120,0.0254,0.4427,20.1844,,
2641.24452,-2.10548,0.8474,0.8958,0.4113,0.4349,19.4270,1.1478,
2641.25147,-2.09853,-0.1552,0.9076,-0.0753,0.4406,20.1844,,
2641.25841,-2.09159,-0.2487,0.9078,-0.1207,0.4407,20.1844,,
2641.26535,-2.08465,-0.2955,0.9136,-0.1434,0.4435,20.1844,,
2641.27230,-2.07770,-0.6593,0.9159,-0.3200,0.4446,20.1844,,
2641.27924,-2.07076,-0.4811,0.9088,-0.2335,0.4411,20.1844,,
2641.29313,-2.05687,1.6009,0.9041,0.7771,0.4389,18.7363,0.6131,
2641.30008,-2.04992,-0.0092,0.9101,-0.0045,0.4418,20.1844,,
2641.30702,-2.04298,-0.1437,0.9131,-0.0697,0.4432,20.1844,,
2641.32091,-2.02909,-0.6171,0.9153,-0.2995,0.4443,20.1844,,
2641.34175,-2.00825,0.3409,0.8178,0.1655,0.3970,20.1844,,
2641.34869,-2.00131,0.6338,0.9212,0.3077,0.4472,19.7423,1.5781,
2641.35563,-1.99437,0.0718,0.9096,0.0349,0.4415,20.1844,,
2641.36258,-1.98742,0.6007,0.8271,0.2916,0.4015,19.8006,1.4950,
2641.36952,-1.98048,1.6250,0.9059,0.7888,0.4397,18.7201,0.6053,
2641.37647,-1.97353,-0.0460,0.9007,-0.0223,0.4372,20.1844,,
2641.38341,-1.96659,-0.7984,0.9012,-0.3875,0.4375,20.1844,,
