BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2644.15677,0.15677,-0.15506,0.11301,-0.09453,0.06889,19.11150,,
2644.40678,0.40678,-0.08553,0.11286,-0.05214,0.06880,19.11086,0.65360,
2644.65678,0.65678,-0.01614,0.11123,-0.00985,0.06781,19.11034,0.45700,
2644.90679,0.90679,-0.08068,0.10826,-0.04918,0.06600,19.10649,0.52900,
2645.15679,1.15679,0.08264,0.10543,0.05038,0.06427,19.09113,0.28694,
2645.40679,1.40679,0.37836,0.10403,0.23064,0.06342,19.00759,0.16716,
2645.65680,1.65680,-0.04132,0.10410,-0.02518,0.06346,19.07972,0.24830,
2645.90680,1.90680,0.17291,0.10529,0.10542,0.06419,19.11150,,
2646.15681,2.15681,0.40135,0.10489,0.24468,0.06394,19.03834,0.17635,
2646.40681,2.40681,0.36233,0.10432,0.22089,0.06360,19.08245,0.24608,
2646.65681,2.65681,0.19494,0.10487,0.11884,0.06393,19.04114,0.18306,
2646.90682,2.90682,0.35909,0.10467,0.21891,0.06381,19.06485,0.19334,
2647.15682,3.15682,0.58028,0.10414,0.35376,0.06349,19.04942,0.16955,
2647.40682,3.40682,0.19088,0.10541,0.11637,0.06426,19.08029,0.22291,
2647.65683,3.65683,0.59814,0.10537,0.36464,0.06423,19.05477,0.18076,
2647.90683,3.90683,0.56144,0.10446,0.34228,0.06368,19.04179,0.17043,
2648.15683,4.15683,0.55568,0.10578,0.33876,0.06449,19.06593,0.18972,
2648.40683,4.40683,0.55172,0.10759,0.33635,0.06559,19.06467,0.18475,
2648.65684,4.65684,0.39674,0.10562,0.24185,0.06439,19.07974,0.25573,
2648.90684,4.90684,0.40421,0.10594,0.24642,0.06458,19.06441,0.19538,
2649.15684,5.15684,0.61194,0.10522,0.37306,0.06415,19.05896,0.16012,
2649.40766,5.40766,0.75830,0.10769,0.46228,0.06565,19.01672,0.14905,
2649.64312,5.64312,0.72232,0.13515,0.44034,0.08239,19.04543,0.20295,
2649.92355,5.92355,0.83566,0.13766,0.50944,0.08392,19.01016,0.17476,
2650.16429,6.16429,0.67362,0.14119,0.41065,0.08607,19.00474,0.20031,
2650.38393,6.38393,0.86488,0.28969,0.52726,0.17661,18.96358,0.31920,
2655.92983,11.92983,1.53878,0.16580,0.93808,0.10107,18.67784,0.11516,
2656.16250,12.16250,1.81873,0.13784,1.10874,0.08403,18.60260,0.08892,
2656.40686,12.40686,1.71896,0.12052,1.04792,0.07348,18.66658,0.08430,
2656.65686,12.65686,1.66456,0.11796,1.01476,0.07192,18.71316,0.08567,
2656.88255,12.88255,1.64611,0.13032,1.00351,0.07945,18.65564,0.08877,
