BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2654.27767,0.32767,1.27053,0.19334,0.03671,0.00559,19.04719,0.14549,0.00000
2654.51095,0.56095,0.96345,0.15203,0.02784,0.00439,19.32474,0.11951,0.00000
2654.76095,0.81095,1.09100,0.16153,0.03153,0.00467,19.22697,0.13211,0.00000
2655.00748,1.05748,0.73060,0.15453,0.02111,0.00447,19.40840,0.14024,0.00000
2655.25749,1.30749,1.24478,0.14386,0.03597,0.00416,19.15831,0.11714,0.00000
2655.50749,1.55749,1.69095,0.13577,0.04886,0.00392,18.81736,0.11114,0.00000
2655.75749,1.80749,1.96747,0.13777,0.05685,0.00398,18.64121,0.08030,0.00000
2656.00749,2.05749,2.53419,0.13585,0.07323,0.00393,18.31820,0.06721,0.00000
2656.25750,2.30750,2.26694,0.13019,0.06550,0.00376,18.43177,0.07966,0.00000
2656.50750,2.55750,2.37062,0.12283,0.06851,0.00355,18.40523,0.06780,0.00000
2656.75750,2.80750,2.78217,0.12646,0.08039,0.00365,18.20390,0.06007,0.00000
2657.00751,3.05750,3.02176,0.12419,0.08731,0.00359,18.06903,0.04760,0.00000
2657.25751,3.30751,3.48685,0.11908,0.10075,0.00344,17.91601,0.03976,0.00000
2657.50751,3.55751,3.64052,0.11437,0.10519,0.00331,17.87224,0.03686,0.00000
2657.73966,3.78966,4.20625,0.13141,0.12154,0.00380,17.70747,0.03599,0.00000
2658.00752,4.05752,5.24503,0.11297,0.15156,0.00326,17.45478,0.02384,0.00000
2658.25752,4.30752,5.51198,0.11096,0.15926,0.00321,17.40397,0.02245,0.00000
2658.50752,4.55752,6.23659,0.10904,0.18021,0.00315,17.27213,0.01965,0.00000
2658.75752,4.80752,6.90442,0.10998,0.19951,0.00318,17.15586,0.01761,0.00000
2659.00425,5.05425,7.52991,0.10902,0.21758,0.00315,17.05880,0.01588,0.00000
2659.25753,5.30753,8.12484,0.10566,0.23477,0.00305,16.97587,0.01425,0.00000
2659.50753,5.55753,8.58749,0.10324,0.24814,0.00298,16.91804,0.01326,0.00000
2659.75754,5.80754,9.35874,0.10164,0.27042,0.00294,16.82221,0.01189,0.00000
2660.00754,6.05754,10.22648,0.10135,0.29549,0.00293,16.72494,0.01082,0.00000
2660.25754,6.30754,11.02049,0.10085,0.31844,0.00291,16.64537,0.01004,0.00000
2660.50754,6.55754,12.10650,0.10077,0.34981,0.00291,16.54113,0.00907,0.00000
2660.75755,6.80755,12.90111,0.10068,0.37279,0.00291,16.47214,0.00851,0.00000
2661.00755,7.05755,13.66218,0.10101,0.39477,0.00292,16.41023,0.00807,0.00000
2661.25755,7.30755,14.72823,0.10096,0.42557,0.00292,16.32824,0.00747,0.00000
2661.50756,7.55756,15.61986,0.10112,0.45134,0.00292,16.26479,0.00706,0.00000
2661.75756,7.80756,16.26002,0.10147,0.46984,0.00293,16.22031,0.00679,0.00000
2662.00756,8.05756,17.13504,0.10080,0.49511,0.00291,16.16357,0.00640,0.00000
2662.25756,8.30756,17.86751,0.10102,0.51627,0.00292,16.11780,0.00615,0.00000
2662.50757,8.55757,18.81081,0.10092,0.54354,0.00292,16.06211,0.00584,0.00000
2662.75757,8.80757,19.67048,0.10107,0.56838,0.00292,16.01318,0.00559,0.00000
2663.00757,9.05757,20.38943,0.10092,0.58916,0.00292,15.97420,0.00538,0.00000
2663.25758,9.30758,21.42447,0.10127,0.61906,0.00293,15.92071,0.00514,0.00000
2663.50758,9.55758,22.06883,0.10190,0.63767,0.00294,15.88830,0.00502,0.00000
2663.75758,9.80758,22.88955,0.10239,0.66139,0.00296,15.84854,0.00486,0.00000
2664.00758,10.05758,23.40530,0.10204,0.67629,0.00295,15.82473,0.00474,0.00000
2664.22286,10.27286,23.94236,0.11960,0.69182,0.00346,15.79978,0.00543,0.00000
2669.06201,15.11201,38.34165,0.43145,1.10787,0.01247,15.28857,0.01224,21.48000
2669.26079,15.31079,37.21010,0.20929,1.07518,0.00605,15.32113,0.00612,21.48000
2669.51704,15.56704,38.13374,0.17413,1.10186,0.00503,15.29417,0.00496,21.48000
2669.69328,15.74328,38.22632,0.22744,1.10455,0.00657,15.29158,0.00647,21.48000
