BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2639.18012,-20.16988,3.9358,2.0775,0.3466,0.1830,17.7596,0.5731,
2639.20790,-20.14210,0.7427,1.6389,0.0654,0.1443,19.5245,,
2639.21485,-20.13515,1.4900,1.6291,0.1312,0.1435,18.8142,1.1870,
2639.26346,-20.08654,8.2336,2.1451,0.7251,0.1889,16.9582,0.2829,
2639.27734,-20.07266,6.2884,2.0390,0.5538,0.1796,17.2508,0.3521,
2639.31901,-20.03099,1.3535,1.6642,0.1192,0.1466,18.9186,1.3350,
2639.33290,-20.01710,2.7251,1.6926,0.2400,0.1491,18.1588,0.6744,
2639.36762,-19.98238,1.0261,1.7537,0.0904,0.1544,19.2192,1.8556,
2639.38151,-19.96849,2.1081,1.7272,0.1857,0.1521,18.4375,0.8895,
2639.38845,-19.96155,2.6294,1.6955,0.2316,0.1493,18.1975,0.7001,
2639.39540,-19.95460,1.7324,1.6634,0.1526,0.1465,18.6506,1.0425,
2639.41623,-19.93377,1.4265,1.5439,0.1256,0.1360,18.8615,1.1751,
2639.42318,-19.92682,-0.1268,1.5434,-0.0112,0.1359,19.5245,,
2639.43012,-19.91988,2.8101,1.5542,0.2475,0.1369,18.1254,0.6005,
2639.43707,-19.91293,3.6281,1.5759,0.3195,0.1388,17.8480,0.4716,
2639.45095,-19.89905,3.5884,1.6545,0.3160,0.1457,17.8600,0.5006,
2639.47179,-19.87821,5.6228,1.7900,0.4952,0.1576,17.3723,0.3456,
2639.50651,-19.84349,6.1168,1.4105,0.5387,0.1242,17.2809,0.2504,
2639.51345,-19.83655,3.6850,1.3550,0.3245,0.1193,17.8311,0.3992,
2639.52734,-19.82266,1.1016,1.3554,0.0970,0.1194,19.1421,1.3359,
2639.54123,-19.80877,8.9823,1.5301,0.7910,0.1347,16.8637,0.1849,
2639.56206,-19.78794,5.8813,1.9549,0.5179,0.1722,17.3235,0.3609,
2639.56901,-19.78099,5.3497,2.0188,0.4711,0.1778,17.4264,0.4097,
2639.57595,-19.77405,5.5046,1.9794,0.4848,0.1743,17.3954,0.3904,
2639.58984,-19.76016,6.2822,1.7168,0.5532,0.1512,17.2519,0.2967,
2639.59679,-19.75321,3.5522,1.5765,0.3128,0.1388,17.8709,0.4819,
2639.61068,-19.73932,4.1432,1.6036,0.3649,0.1412,17.7039,0.4202,
2639.62456,-19.72544,2.4144,1.4519,0.2126,0.1279,18.2902,0.6529,
2639.63845,-19.71155,1.7864,1.5470,0.1573,0.1362,18.6173,0.9402,
2639.64540,-19.70460,4.5474,1.6148,0.4005,0.1422,17.6028,0.3856,
2639.67317,-19.67683,2.4112,1.6866,0.2123,0.1485,18.2916,0.7595,
2639.70095,-19.64905,1.7898,1.6184,0.1576,0.1425,18.6152,0.9817,
2639.70790,-19.64210,0.2710,1.6103,0.0239,0.1418,19.5245,,
2639.72179,-19.62821,5.3845,1.5938,0.4742,0.1404,17.4193,0.3214,
2639.72873,-19.62127,3.2524,1.5875,0.2864,0.1398,17.9667,0.5300,
2639.73567,-19.61433,0.6666,1.5997,0.0587,0.1409,19.5245,,
2639.74262,-19.60738,-0.3387,1.6153,-0.0298,0.1422,19.5245,,
2639.75651,-19.59349,4.6028,1.6837,0.4053,0.1483,17.5897,0.3972,
2639.77040,-19.57960,3.2385,1.7032,0.2852,0.1500,17.9713,0.5710,
2639.77734,-19.57266,2.9976,1.7131,0.2640,0.1509,18.0553,0.6205,
2639.79123,-19.55877,5.1319,1.7135,0.4519,0.1509,17.4715,0.3625,
2639.79817,-19.55183,4.6883,1.6815,0.4129,0.1481,17.5697,0.3894,
2639.80512,-19.54488,-0.1867,1.6194,-0.0164,0.1426,19.5245,,
2639.81206,-19.53794,3.7838,1.5354,0.3332,0.1352,17.8024,0.4406,
2639.81901,-19.53099,1.1206,1.6107,0.0987,0.1418,19.1236,1.5605,
2639.82595,-19.52405,2.3500,1.3936,0.2070,0.1227,18.3195,0.6439,
2639.83290,-19.51710,2.6567,1.3657,0.2340,0.1203,18.1863,0.5581,
2639.83984,-19.51016,2.8938,1.5283,0.2548,0.1346,18.0935,0.5734,
2639.84678,-19.50322,4.2375,1.5679,0.3732,0.1381,17.6794,0.4017,
2639.86762,-19.48238,5.5182,1.7102,0.4860,0.1506,17.3927,0.3365,
2639.90234,-19.44766,4.0813,1.5924,0.3594,0.1402,17.7202,0.4236,
2639.91623,-19.43377,2.8811,1.5282,0.2537,0.1346,18.0983,0.5759,
2639.92317,-19.42683,0.2670,1.4911,0.0235,0.1313,19.5245,,
2639.93012,-19.41988,1.6378,1.5000,0.1442,0.1321,18.7115,0.9944,
2639.94401,-19.40599,1.2670,1.4672,0.1116,0.1292,18.9903,1.2573,
2639.95095,-19.39905,2.5680,1.5596,0.2261,0.1373,18.2232,0.6594,
2639.95789,-19.39211,4.5874,1.6556,0.4040,0.1458,17.5933,0.3918,
2639.96484,-19.38516,6.3515,1.7340,0.5593,0.1527,17.2400,0.2964,
2639.98567,-19.36433,3.8825,1.6433,0.3419,0.1447,17.7744,0.4596,
2640.00650,-19.34350,0.3695,1.5786,0.0325,0.1390,19.5245,,
2640.01345,-19.33655,1.5222,1.5587,0.1341,0.1373,18.7910,1.1117,
2640.02039,-19.32961,1.0598,1.5797,0.0933,0.1391,19.1842,1.6185,
2640.05512,-19.29488,0.2730,1.5768,0.0240,0.1389,19.5245,,
2640.06206,-19.28794,3.7222,1.5556,0.3278,0.1370,17.8202,0.4537,
2640.07595,-19.27405,-2.7313,1.5760,-0.2405,0.1388,19.5245,,
2640.08984,-19.26016,-0.1896,1.5271,-0.0167,0.1345,19.5245,,
2640.10373,-19.24627,3.2576,1.4804,0.2869,0.1304,17.9650,0.4934,
2640.12456,-19.22544,-0.4725,1.7165,-0.0416,0.1512,19.5245,,
2640.13150,-19.21850,0.9487,1.7255,0.0835,0.1520,19.3044,1.9746,
2640.14539,-19.20461,-0.3806,1.5976,-0.0335,0.1407,19.5245,,
2640.15234,-19.19766,3.0775,1.5227,0.2710,0.1341,18.0267,0.5372,
2640.16623,-19.18377,0.9025,1.3961,0.0795,0.1230,19.3586,1.6797,
2640.17317,-19.17683,1.9574,1.3659,0.1724,0.1203,18.5180,0.7577,
2640.18011,-19.16989,2.5777,1.3521,0.2270,0.1191,18.2191,0.5695,
2640.19400,-19.15600,3.1702,1.4026,0.2792,0.1235,17.9945,0.4804,
2640.20095,-19.14905,0.7947,1.4466,0.0700,0.1274,19.4967,1.9764,
2640.20789,-19.14211,1.5223,1.4927,0.1341,0.1315,18.7909,1.0646,
2640.21484,-19.13516,2.0538,1.5008,0.1809,0.1322,18.4658,0.7934,
