BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2637.47597,-22.97403,-1.0706,1.4195,-0.2118,0.2808,20.8064,0.0,
2637.48291,-22.96709,0.0512,1.4298,0.0101,0.2829,20.8064,0.0,
2637.48986,-22.96014,-2.1770,1.4280,-0.4307,0.2825,20.8064,0.0,
2637.49680,-22.95320,-0.4389,1.4827,-0.0868,0.2933,20.8064,0.0,
2637.50375,-22.94625,-1.0257,1.4678,-0.2029,0.2904,20.8064,0.0,
2637.51069,-22.93931,3.6595,1.4634,0.7240,0.2895,17.8387,0.4342,0.0
2637.51764,-22.93236,-2.8901,1.4653,-0.5718,0.2899,20.8064,0.0,
2637.52458,-22.92542,-2.5986,1.5459,-0.5141,0.3059,20.8064,0.0,
2637.53153,-22.91847,-1.6700,1.5653,-0.3304,0.3097,20.8064,0.0,
2637.53847,-22.91153,0.4329,1.5573,0.0857,0.3081,20.1562,3.9055,0.0
2637.55236,-22.89764,-0.9811,1.5605,-0.1941,0.3087,20.8064,0.0,
2637.55930,-22.89070,-3.5026,1.5758,-0.6930,0.3118,20.8064,0.0,
2637.56625,-22.88375,-3.5470,1.5606,-0.7018,0.3088,20.8064,0.0,
2637.57319,-22.87681,-0.3040,1.6402,-0.0601,0.3245,20.8064,0.0,
2637.58014,-22.86986,-2.9291,1.6222,-0.5795,0.3210,20.8064,0.0,
2637.58708,-22.86292,-4.2506,1.6524,-0.8410,0.3269,20.8064,0.0,
2637.59402,-22.85598,-0.4095,1.6240,-0.0810,0.3213,20.8064,0.0,
2637.60097,-22.84903,-2.3595,1.6289,-0.4668,0.3223,20.8064,0.0,
2637.60791,-22.84209,-3.6550,1.6921,-0.7231,0.3348,20.8064,0.0,
2637.61486,-22.83514,-0.7965,1.6722,-0.1576,0.3308,20.8064,0.0,
2637.62180,-22.82820,0.1485,1.6715,0.0294,0.3307,20.8064,0.0,
2637.62875,-22.82125,-0.0058,1.6229,-0.0012,0.3211,20.8064,0.0,
2637.63569,-22.81431,-0.0777,1.6397,-0.0154,0.3244,20.8064,0.0,
2637.64264,-22.80736,-2.1456,1.6655,-0.4245,0.3295,20.8064,0.0,
2637.64958,-22.80042,1.0996,1.7170,0.2176,0.3397,19.1441,1.6953,0.0
2637.65652,-22.79348,1.2640,1.6546,0.2501,0.3273,18.9929,1.4212,0.0
2637.66347,-22.78653,1.1782,1.7089,0.2331,0.3381,19.0692,1.5748,0.0
2637.67041,-22.77959,-2.9217,1.7057,-0.5781,0.3375,20.8064,0.0,
2637.67736,-22.77264,1.2266,1.6749,0.2427,0.3314,19.0254,1.4825,0.0
2637.68430,-22.76570,-4.7459,1.6912,-0.9390,0.3346,20.8064,0.0,
2637.69125,-22.75875,0.2139,1.6604,0.0423,0.3285,20.8064,0.0,
2637.69819,-22.75181,-4.1807,1.6208,-0.8271,0.3207,20.8064,0.0,
2637.70513,-22.74487,-1.0612,1.6786,-0.2100,0.3321,20.8064,0.0,
2637.71208,-22.73792,-0.2282,1.6085,-0.0452,0.3182,20.8064,0.0,
