BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2660.57993,0.12993,0.23671,0.07026,0.04683,0.01390,20.38135,0.11449,0.00000
2660.83340,0.38340,0.40619,0.06948,0.08037,0.01375,20.17902,0.10290,0.00000
2661.08340,0.63340,0.42560,0.06765,0.08420,0.01339,20.10598,0.10999,0.00000
2661.33340,0.88340,0.38306,0.06922,0.07579,0.01370,20.20164,0.11106,0.00000
2661.58340,1.13340,0.48161,0.06921,0.09528,0.01369,20.06688,0.12624,0.00000
2661.83340,1.38340,0.34439,0.06701,0.06814,0.01326,20.23882,0.11055,0.00000
2662.08340,1.63340,0.42866,0.06679,0.08481,0.01322,20.10521,0.12680,0.00000
2662.33339,1.88339,0.37044,0.07005,0.07329,0.01386,20.13060,0.10121,0.00000
2662.58339,2.13339,0.39650,0.06929,0.07844,0.01371,20.10946,0.10523,0.00000
2662.83339,2.38339,0.35409,0.06948,0.07006,0.01375,20.20144,0.14049,0.00000
2663.08339,2.63339,0.43236,0.07061,0.08555,0.01397,20.08450,0.13796,0.00000
2663.33338,2.88339,0.38585,0.07029,0.07634,0.01391,20.12465,0.11391,0.00000
2663.58338,3.13338,0.41039,0.07087,0.08119,0.01402,20.06916,0.11151,0.00000
2663.83338,3.38338,0.35553,0.07368,0.07034,0.01458,20.12148,0.10042,0.00000
2664.08338,3.63338,0.42341,0.07157,0.08377,0.01416,20.11038,0.08736,0.00000
2664.26046,3.81046,0.41415,0.10802,0.08194,0.02137,20.17543,0.16572,0.00000
2667.39063,6.94063,1.40221,0.30162,0.27742,0.05968,19.09193,0.50784,4.16800
2667.58334,7.13334,1.58789,0.20192,0.31416,0.03995,19.08253,0.36479,4.16800
2667.83334,7.38334,1.70078,0.20071,0.33649,0.03971,18.99130,0.33815,4.16800
2668.08333,7.63333,2.14639,0.19594,0.42467,0.03877,18.65748,0.23678,4.16800
2668.33333,7.88333,2.09578,0.17837,0.41465,0.03529,18.78348,0.27628,4.16800
2668.58333,8.13333,2.69029,0.16368,0.53226,0.03238,18.31972,0.14861,4.16800
2668.83333,8.38333,2.92740,0.15690,0.57918,0.03104,18.19221,0.09590,4.16800
2669.08332,8.63332,3.37086,0.15646,0.66692,0.03096,18.00802,0.07538,4.16800
2669.33332,8.88332,3.28087,0.15942,0.64911,0.03154,18.00050,0.06085,4.16800
2669.58332,9.13332,3.56883,0.15927,0.70609,0.03151,17.93942,0.06464,4.16800
2669.83332,9.38332,3.77944,0.16060,0.74775,0.03178,17.90733,0.07147,4.16800
2670.08143,9.63143,3.84633,0.15725,0.76099,0.03111,17.84619,0.05443,4.16800
2670.32854,9.87854,2.93592,0.15668,0.58087,0.03100,18.23023,0.10254,4.16800
2670.55492,10.10492,2.62850,0.20120,0.52004,0.03981,18.29788,0.12871,4.16800
2670.87266,10.42266,2.92157,0.34690,0.57802,0.06863,18.10738,0.13816,4.16800
2672.45135,12.00135,4.20685,0.50251,0.83230,0.09942,17.69860,0.13375,4.16800
2672.58329,12.13329,3.91186,0.12042,0.77396,0.02383,17.81058,0.03944,4.16800
2672.83329,12.38329,4.11563,0.12096,0.81427,0.02393,17.74740,0.03606,4.16800
2673.08329,12.63329,3.99841,0.11859,0.79108,0.02346,17.81696,0.04288,4.16800
2673.33329,12.88329,4.56511,0.11639,0.90319,0.02303,17.62419,0.02996,4.16800
2673.58329,13.13329,4.77294,0.11472,0.94431,0.02270,17.57995,0.02843,4.16800
2673.83328,13.38328,4.74335,0.11263,0.93846,0.02228,17.58175,0.02783,4.16800
2674.08328,13.63328,4.97229,0.11132,0.98376,0.02202,17.52435,0.02577,4.16800
2674.33328,13.88328,4.62947,0.10396,0.91592,0.02057,17.59768,0.02533,4.16800
2674.58328,14.13328,4.32437,0.09831,0.85556,0.01945,17.67729,0.02614,4.16800
2674.83328,14.38328,4.60473,0.09664,0.91103,0.01912,17.61709,0.02483,4.16800
2675.08328,14.63328,5.10499,0.08263,1.01001,0.01635,17.49352,0.01850,4.16800
2675.33327,14.88327,4.98405,0.07053,0.98608,0.01396,17.51368,0.01597,4.16800
2675.58327,15.13327,5.25156,0.07094,1.03901,0.01404,17.45518,0.01504,4.16800
2675.83327,15.38327,5.31790,0.07047,1.05214,0.01394,17.43944,0.01468,4.16800
2676.08327,15.63327,5.46121,0.07316,1.08048,0.01448,17.40997,0.01478,4.16800
2676.33327,15.88327,5.30376,0.07165,1.04933,0.01418,17.44347,0.01498,4.16800
2676.58326,16.13326,5.34850,0.07057,1.05820,0.01396,17.43472,0.01471,4.16800
