BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2642.20945,-7.94055,0.4578,1.2194,0.1236,0.3294,20.0956,2.8920,
2642.23723,-7.91277,1.5238,1.2222,0.4116,0.3301,18.7899,0.8709,
2642.27195,-7.87805,-0.7970,1.2260,-0.2153,0.3311,20.4694,,
2642.28584,-7.86416,-0.2748,1.2202,-0.0742,0.3296,20.4694,,
2642.29973,-7.85027,-0.1855,1.2374,-0.0501,0.3342,20.4694,,
2642.31362,-7.83638,1.9036,1.2312,0.5142,0.3326,18.5482,0.7022,
2642.32056,-7.82944,1.0937,1.2227,0.2954,0.3303,19.1499,1.2138,
2642.32751,-7.82249,1.1867,1.2135,0.3205,0.3278,19.0613,1.1102,
2642.36223,-7.78777,1.0593,1.2063,0.2861,0.3258,19.1847,1.2364,
2642.36918,-7.78082,1.3765,1.1902,0.3718,0.3215,18.9003,0.9388,
2642.37612,-7.77388,1.5483,1.1835,0.4182,0.3197,18.7725,0.8299,
2642.38306,-7.76694,-0.8260,1.1955,-0.2231,0.3229,20.4694,,
2642.39001,-7.75999,-1.5944,1.1870,-0.4307,0.3206,20.4694,,
2642.39695,-7.75305,-0.5935,1.1812,-0.1603,0.3191,20.4694,,
2642.40390,-7.74610,0.8162,1.1865,0.2205,0.3205,19.4677,1.5783,
2642.41084,-7.73916,0.7443,1.1840,0.2010,0.3198,19.5679,1.7272,
2642.41779,-7.73221,-0.0009,1.1697,-0.0002,0.3159,20.4694,,
2642.42473,-7.72527,0.2100,1.1775,0.0567,0.3180,20.4694,,
2642.43167,-7.71833,0.1651,1.1681,0.0446,0.3155,20.4694,,
2642.43862,-7.71138,1.4847,1.1696,0.4010,0.3159,18.8181,0.8553,
2642.44556,-7.70444,1.3740,1.1640,0.3711,0.3144,18.9022,0.9198,
2642.45251,-7.69749,-1.3861,1.1689,-0.3744,0.3157,20.4694,,
2642.45945,-7.69055,0.3276,1.1663,0.0885,0.3150,20.4587,3.8649,
2642.46640,-7.68360,3.0617,1.1685,0.8270,0.3156,18.0323,0.4144,
2642.47334,-7.67666,-2.1504,1.1614,-0.5808,0.3137,20.4694,,
2642.48029,-7.66971,-0.8602,1.1545,-0.2323,0.3118,20.4694,,
2642.48723,-7.66277,-0.4402,1.1555,-0.1189,0.3121,20.4694,,
2642.49417,-7.65583,0.2966,1.1494,0.0801,0.3105,20.4694,,
