BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2674.82759,0.12759,-0.18854,0.14259,-0.09249,0.06995,19.68142,0.51104,
2675.07759,0.37759,-0.26513,0.14375,-0.13007,0.07052,19.63986,0.38157,
2675.32412,0.62412,0.03387,0.13726,0.01661,0.06734,19.60988,0.30641,
2675.57412,0.87412,0.10272,0.13833,0.05040,0.06787,19.55629,0.29364,
2675.82412,1.12412,0.15477,0.13749,0.07593,0.06745,19.59482,0.29521,
2676.07412,1.37412,0.37157,0.13667,0.18230,0.06705,19.44972,0.20897,
2676.32412,1.62412,0.22843,0.13917,0.11207,0.06828,19.58385,0.30399,
2676.57412,1.87412,0.31108,0.13978,0.15261,0.06858,19.53948,0.26416,
2676.82412,2.12412,0.43943,0.13578,0.21559,0.06662,19.49533,0.23638,
2677.07412,2.37412,0.58346,0.13358,0.28626,0.06554,19.50218,0.23624,
2677.32412,2.62412,0.53914,0.13300,0.26450,0.06525,19.48471,0.22065,
2677.57412,2.87412,0.54674,0.13414,0.26824,0.06581,19.41784,0.20030,
2677.82412,3.12412,0.68548,0.13223,0.33629,0.06487,19.39987,0.19022,
2678.07412,3.37412,0.48042,0.13542,0.23569,0.06644,19.48575,0.22993,
2678.29981,3.59981,0.98035,0.14988,0.48096,0.07353,19.21572,0.17528,
2685.60530,10.90530,2.32739,0.19966,1.14183,0.09795,18.39088,0.11866,
2685.83099,11.13099,2.13038,0.17426,1.04518,0.08549,18.51952,0.10365,
2685.97682,11.27682,2.15077,0.43157,1.05517,0.21174,18.57643,0.37440,
