BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2685.62884,2.97884,1.21021,0.19357,0.39343,0.06293,18.96123,0.19128,
2685.87884,3.22884,1.19685,0.19245,0.38909,0.06256,18.91928,0.17456,
2686.12885,3.47884,0.76311,0.18864,0.24809,0.06133,19.07935,0.21760,
2686.37885,3.72885,0.89811,0.18056,0.29196,0.05870,19.11304,0.21678,
2686.62885,3.97885,1.60864,0.17696,0.52294,0.05753,18.74251,0.13821,
2686.87885,4.22885,1.69593,0.17820,0.55134,0.05793,18.71313,0.13209,
2687.12885,4.47885,1.50844,0.17613,0.49038,0.05726,18.77910,0.13621,
2687.37885,4.72885,1.45435,0.17124,0.47279,0.05567,18.80309,0.12318,
2687.62885,4.97885,1.51232,0.16747,0.49164,0.05444,18.78165,0.13118,
2687.87885,5.22885,1.87006,0.16704,0.60794,0.05430,18.65700,0.11828,
2688.12885,5.47885,2.33256,0.16434,0.75829,0.05343,18.42431,0.09676,
2688.37886,5.72886,2.43274,0.16183,0.79086,0.05261,18.37328,0.09191,
2688.62886,5.97886,2.21691,0.15788,0.72070,0.05132,18.43369,0.08805,
2688.87886,6.22886,2.70846,0.15547,0.88049,0.05054,18.22227,0.07471,
2689.12886,6.47886,3.07997,0.15331,1.00127,0.04984,18.08220,0.06560,
2689.37886,6.72886,2.67166,0.15158,0.86854,0.04928,18.23279,0.07084,
2689.62886,6.97886,2.82097,0.15206,0.91707,0.04943,18.18266,0.06509,
2689.87886,7.22886,3.08514,0.15213,1.00296,0.04946,18.07141,0.06203,
2690.02122,7.37122,2.76684,0.41103,0.89948,0.13362,18.20788,0.20109,
