BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2688.94974,0.80974,-0.02674,0.07784,-0.08765,0.25515,20.83265,0.37944,
2689.19992,1.05992,0.05238,0.07582,0.17170,0.24855,20.76996,0.34756,
2689.44992,1.30992,0.10427,0.07645,0.34180,0.25058,20.78823,0.38875,
2689.69991,1.55991,0.07651,0.07640,0.25082,0.25042,20.76557,0.38428,
2689.94990,1.80990,0.13978,0.08164,0.45814,0.26762,20.65423,0.36798,
2690.19989,2.05989,0.19830,0.08215,0.65001,0.26929,20.68623,0.38610,
2690.44989,2.30989,0.03182,0.08660,0.10426,0.28386,20.73849,0.40978,
2690.69988,2.55988,0.08655,0.09298,0.28371,0.30478,20.71273,0.40619,
2690.94819,2.80819,0.12366,0.07493,0.40534,0.24562,20.75545,0.38455,
2691.19986,3.05986,0.41832,0.08652,1.37115,0.28361,20.29011,0.27427,
2691.41540,3.27540,0.29116,0.09281,0.95444,0.30423,20.56960,0.40632,
