BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2667.99834,-18.44166,-0.2698,1.8372,-0.2276,1.5498,19.7703,,
2668.00528,-18.43472,-0.8480,1.8476,-0.7154,1.5586,19.7703,,
2668.01223,-18.42777,0.9206,1.8471,0.7766,1.5582,19.3370,2.1784,
2668.02611,-18.41389,0.0423,1.8460,0.0357,1.5572,19.7703,,
2668.04695,-18.39305,0.4136,1.8165,0.3489,1.5323,19.7703,,
2668.05389,-18.38611,-1.7439,1.8212,-1.4711,1.5363,19.7703,,
2668.06084,-18.37916,0.2086,1.8276,0.1760,1.5417,19.7703,,
2668.07473,-18.36527,1.5604,1.8045,1.3163,1.5222,18.7641,1.2556,
2668.08167,-18.35833,-1.7094,1.7934,-1.4420,1.5129,19.7703,,
2668.10945,-18.33055,-1.3060,1.7872,-1.1017,1.5076,19.7703,,
2668.11639,-18.32361,-1.2390,1.7787,-1.0452,1.5004,19.7703,,
2668.12334,-18.31666,-0.0373,1.7792,-0.0315,1.5008,19.7703,,
2668.13028,-18.30972,0.5187,1.7685,0.4375,1.4918,19.7703,,
2668.13723,-18.30277,-1.2410,1.7562,-1.0469,1.4815,19.7703,,
2668.14417,-18.29583,-0.0139,1.7692,-0.0118,1.4924,19.7703,,
2668.15112,-18.28888,-0.8905,1.7577,-0.7512,1.4827,19.7703,,
2668.15806,-18.28194,3.0586,1.7578,2.5801,1.4828,18.0334,0.6240,
2668.16501,-18.27499,0.5316,1.7515,0.4484,1.4775,19.7703,,
2668.17195,-18.26805,-0.8948,1.7603,-0.7548,1.4849,19.7703,,
2668.17889,-18.26111,-4.5810,1.7473,-3.8643,1.4739,19.7703,,
2668.18584,-18.25416,-1.0433,1.7458,-0.8801,1.4726,19.7703,,
2668.19278,-18.24722,-3.2492,1.7362,-2.7409,1.4646,19.7703,,
2668.19973,-18.24027,1.2028,1.7264,1.0146,1.4563,19.0467,1.5584,
2668.20667,-18.23333,-1.3940,1.7331,-1.1760,1.4620,19.7703,,
