BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2686.95603,0.12603,-0.03123,0.14052,-0.05176,0.23295,19.78746,0.33008,
2687.20950,0.37950,-0.17518,0.12866,-0.29042,0.21328,19.79264,0.35778,
2687.46297,0.63297,0.01982,0.12662,0.03287,0.20989,19.72361,0.26965,
2687.71297,0.88297,0.07471,0.12478,0.12385,0.20685,19.74378,0.28275,
2687.96297,1.13297,0.01794,0.12760,0.02973,0.21153,19.78327,0.31668,
2688.21297,1.38297,0.09218,0.12566,0.15281,0.20830,19.70394,0.25314,
2688.46296,1.63296,0.04520,0.12258,0.07493,0.20321,19.76810,0.29081,
2688.71296,1.88296,0.42444,0.11879,0.70360,0.19692,19.61618,0.22054,
2688.96296,2.13296,0.39312,0.11483,0.65168,0.19035,19.61047,0.18484,
2689.21295,2.38295,0.47069,0.11608,0.78029,0.19243,19.66080,0.22650,
2689.46295,2.63295,0.41515,0.11464,0.68821,0.19004,19.59670,0.18565,
2689.71295,2.88295,0.53752,0.11421,0.89107,0.18932,19.51722,0.17662,
2689.96294,3.13294,0.51844,0.11436,0.85943,0.18958,19.60222,0.20483,
2690.20252,3.37252,0.52927,0.11945,0.87736,0.19802,19.47573,0.17472,
