BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2579.80476,-5.10524,-2.6604,1.7479,-0.5854,0.3846,19.7020,,
2579.81170,-5.09830,-0.0224,1.7989,-0.0049,0.3958,19.7020,,
2579.81865,-5.09135,-0.6413,1.7191,-0.1411,0.3783,19.7020,,
2579.82559,-5.08441,1.7303,1.7072,0.3807,0.3756,18.6519,1.0713,
2579.83948,-5.07052,-1.7932,1.6812,-0.3946,0.3699,19.7020,,
2579.85337,-5.05663,-1.2955,1.6489,-0.2850,0.3628,19.7020,,
2579.86032,-5.04968,-1.7866,1.6267,-0.3931,0.3579,19.7020,,
2579.86726,-5.04274,-1.6188,1.6189,-0.3562,0.3562,19.7020,,
2579.89504,-5.01496,1.0782,1.5950,0.2372,0.3509,19.1654,1.6061,
2579.90199,-5.00801,0.1079,1.5885,0.0237,0.3495,19.7020,,
2579.90893,-5.00107,-1.7012,1.5768,-0.3743,0.3469,19.7020,,
2579.91587,-4.99413,-0.3260,1.5658,-0.0717,0.3445,19.7020,,
2579.92282,-4.98718,-0.4614,1.5556,-0.1015,0.3423,19.7020,,
2579.92976,-4.98024,1.0315,1.5401,0.2270,0.3389,19.2136,1.6211,
2579.93671,-4.97329,-1.0543,1.5312,-0.2320,0.3369,19.7020,,
2579.94365,-4.96635,2.4145,1.5420,0.5313,0.3393,18.2901,0.6934,
2579.95060,-4.95940,-0.4842,1.5231,-0.1065,0.3351,19.7020,,
2579.95754,-4.95246,0.0701,1.5106,0.0154,0.3324,19.7020,,
2579.96449,-4.94551,1.4949,1.5285,0.3289,0.3363,18.8107,1.1102,
2579.97143,-4.93857,0.4063,1.5149,0.0894,0.3333,19.7020,,
2579.97838,-4.93162,0.4632,1.4971,0.1019,0.3294,19.7020,,
2579.98532,-4.92468,-3.0095,1.5122,-0.6622,0.3327,19.7020,,
2579.99226,-4.91774,0.1914,1.5133,0.0421,0.3330,19.7020,,
2579.99921,-4.91079,-0.3435,1.4936,-0.0756,0.3286,19.7020,,
2580.00615,-4.90385,0.9098,1.5038,0.2002,0.3309,19.3498,1.7945,
2580.01310,-4.89690,1.3055,1.4854,0.2872,0.3268,18.9578,1.2354,
2580.02004,-4.88996,0.5693,1.4703,0.1253,0.3235,19.7020,,
2580.02699,-4.88301,1.6269,1.4708,0.3580,0.3236,18.7188,0.9815,
2580.03393,-4.87607,0.2930,1.4450,0.0645,0.3179,19.7020,,
2580.04088,-4.86912,0.2879,1.4350,0.0633,0.3157,19.7020,,
2580.04782,-4.86218,-0.8873,1.4257,-0.1952,0.3137,19.7020,,
2580.06171,-4.84829,-0.1191,1.4148,-0.0262,0.3113,19.7020,,
2580.06866,-4.84134,-0.0320,1.4025,-0.0070,0.3086,19.7020,,
2580.07560,-4.83440,0.5203,1.3998,0.1145,0.3080,19.7020,,
2580.08254,-4.82746,-0.5819,1.3859,-0.1280,0.3049,19.7020,,
2580.08949,-4.82051,1.6368,1.3748,0.3601,0.3025,18.7122,0.9120,
2580.09643,-4.81357,-1.5580,1.3710,-0.3428,0.3017,19.7020,,
2580.10338,-4.80662,2.1089,1.3639,0.4640,0.3001,18.4371,0.7022,
2580.11032,-4.79968,1.1720,1.3552,0.2579,0.2982,19.0749,1.2555,
2580.11727,-4.79273,-0.2339,1.3491,-0.0515,0.2968,19.7020,,
2580.12421,-4.78579,-0.5936,1.3408,-0.1306,0.2950,19.7020,,
2580.13116,-4.77884,-0.6738,1.3292,-0.1483,0.2925,19.7020,,
2580.14505,-4.76495,-1.2538,1.3107,-0.2759,0.2884,19.7020,,
2580.15199,-4.75801,0.3598,1.3018,0.0792,0.2864,19.7020,,
2580.15894,-4.75106,1.0455,1.2900,0.2300,0.2838,19.1989,1.3396,
2580.16588,-4.74412,0.5294,1.2787,0.1165,0.2813,19.7020,,
2580.17282,-4.73718,0.8897,1.2809,0.1958,0.2818,19.3741,1.5632,
2580.17977,-4.73023,1.1986,1.2763,0.2637,0.2808,19.0505,1.1561,
2580.18671,-4.72329,-0.1706,1.2840,-0.0375,0.2825,19.7020,,
2580.19366,-4.71634,0.5883,1.2612,0.1294,0.2775,19.7020,,
2580.20060,-4.70940,-0.9305,1.2646,-0.2047,0.2783,19.7020,,
2580.20755,-4.70245,0.2282,1.2491,0.0502,0.2748,19.7020,,
2580.21449,-4.69551,0.1680,1.2759,0.0370,0.2807,19.7020,,
2580.22144,-4.68856,0.1386,1.2500,0.0305,0.2750,19.7020,,
2580.22838,-4.68162,-0.4231,1.2695,-0.0931,0.2793,19.7020,,
2580.23533,-4.67467,0.0288,1.2523,0.0063,0.2755,19.7020,,
2580.24227,-4.66773,-0.0636,1.2454,-0.0140,0.2740,19.7020,,
2580.24922,-4.66078,-0.6032,1.2436,-0.1327,0.2736,19.7020,,
2580.26311,-4.64689,1.2379,1.2649,0.2724,0.2783,19.0155,1.1094,
2580.27005,-4.63995,-1.5342,1.2361,-0.3376,0.2720,19.7020,,
2580.27699,-4.63301,-2.1794,1.2555,-0.4795,0.2762,19.7020,,
2580.28394,-4.62606,1.1910,1.2514,0.2621,0.2753,19.0574,1.1408,
2580.29088,-4.61912,0.8825,1.2215,0.1942,0.2688,19.3829,1.5028,
2580.29783,-4.61217,0.3906,1.2380,0.0859,0.2724,19.7020,,
2580.30477,-4.60523,1.2937,1.2350,0.2847,0.2717,18.9676,1.0365,
2580.31172,-4.59828,-1.0370,1.2002,-0.2282,0.2641,19.7020,,
2580.31866,-4.59134,0.8460,1.2235,0.1861,0.2692,19.4288,1.5703,
2580.32561,-4.58439,0.7512,1.2152,0.1653,0.2674,19.5578,1.7564,
2580.33255,-4.57745,0.0452,1.2043,0.0099,0.2650,19.7020,,
2580.33950,-4.57050,-0.9980,1.1887,-0.2196,0.2615,19.7020,,
2580.34644,-4.56356,-0.2334,1.1864,-0.0514,0.2610,19.7020,,
2580.35338,-4.55662,0.7552,1.1816,0.1662,0.2600,19.5520,1.6987,
2580.36033,-4.54967,-1.7296,1.1697,-0.3806,0.2574,19.7020,,
2580.36727,-4.54273,0.0793,1.1618,0.0174,0.2556,19.7020,,
2580.37422,-4.53578,1.0259,1.1604,0.2257,0.2553,19.2195,1.2282,
2580.38116,-4.52884,3.4711,1.1544,0.7637,0.2540,17.8960,0.3611,
2580.38811,-4.52189,1.3646,1.1446,0.3002,0.2519,18.9097,0.9107,
2580.39505,-4.51495,2.0408,1.1469,0.4490,0.2524,18.4727,0.6102,
2580.40200,-4.50800,-0.3679,1.1332,-0.0809,0.2493,19.7020,,
2580.40894,-4.50106,-0.1415,1.1300,-0.0311,0.2486,19.7020,,
2580.41589,-4.49411,3.9408,1.1273,0.8671,0.2480,17.7582,0.3106,
2580.42283,-4.48717,0.8963,1.1275,0.1972,0.2481,19.3661,1.3658,
2580.42978,-4.48022,-0.1677,1.1184,-0.0369,0.2461,19.7020,,
2580.43672,-4.47328,1.2052,1.1117,0.2652,0.2446,19.0446,1.0015,
2580.44366,-4.46634,-0.2895,1.1117,-0.0637,0.2446,19.7020,,
2580.45061,-4.45939,-0.0175,1.1024,-0.0039,0.2426,19.7020,,
2580.45755,-4.45245,2.1930,1.1066,0.4825,0.2435,18.3946,0.5479,
2580.46450,-4.44550,0.4660,1.1106,0.1025,0.2444,19.7020,,
2580.47144,-4.43856,0.1978,1.0900,0.0435,0.2398,19.7020,,
2580.47839,-4.43161,-0.8367,1.1020,-0.1841,0.2425,19.7020,,
2580.48533,-4.42467,1.0861,1.1055,0.2390,0.2432,19.1576,1.1051,
2580.49228,-4.41772,-0.4600,1.0979,-0.1012,0.2416,19.7020,,
2580.49922,-4.41078,0.4163,1.0952,0.0916,0.2410,19.7020,,
2580.50617,-4.40383,-1.6486,1.0966,-0.3627,0.2413,19.7020,,
2580.51311,-4.39689,0.3188,1.0917,0.0701,0.2402,19.7020,,
2580.52006,-4.38994,-1.9476,1.0946,-0.4285,0.2408,19.7020,,
2580.52700,-4.38300,-0.4951,1.0910,-0.1089,0.2401,19.7020,,
2580.53395,-4.37605,-0.2306,1.0934,-0.0507,0.2406,19.7020,,
2580.54089,-4.36911,-0.5502,1.0859,-0.1211,0.2389,19.7020,,
2580.54783,-4.36217,0.5926,1.0845,0.1304,0.2386,19.7020,,
2580.55478,-4.35522,-0.3677,1.0882,-0.0809,0.2394,19.7020,,
2580.56172,-4.34828,0.4632,1.0830,0.1019,0.2383,19.7020,,
2580.56867,-4.34133,-0.9407,1.0781,-0.2070,0.2372,19.7020,,
2580.57561,-4.33439,-1.3762,1.0870,-0.3028,0.2392,19.7020,,
2580.58256,-4.32744,-1.5300,1.0812,-0.3366,0.2379,19.7020,,
2580.58950,-4.32050,-0.5250,1.0809,-0.1155,0.2378,19.7020,,
2580.59645,-4.31355,-1.0550,1.0685,-0.2321,0.2351,19.7020,,
2580.60339,-4.30661,-1.8065,1.0682,-0.3975,0.2350,19.7020,,
2580.61034,-4.29966,0.6506,1.0734,0.1431,0.2362,19.7020,,
2580.61728,-4.29272,-1.2050,1.0717,-0.2651,0.2358,19.7020,,
2580.62423,-4.28577,-1.0903,1.0591,-0.2399,0.2330,19.7020,,
2580.63117,-4.27883,0.1805,1.0648,0.0397,0.2343,19.7020,,
2580.63811,-4.27189,0.9523,1.0554,0.2095,0.2322,19.3003,1.2033,
2580.64506,-4.26494,-0.3227,1.0635,-0.0710,0.2340,19.7020,,
2580.65200,-4.25800,-0.1512,1.0500,-0.0333,0.2310,19.7020,,
2580.65895,-4.25105,-0.1480,1.0598,-0.0326,0.2332,19.7020,,
2580.66589,-4.24411,-0.8687,1.0612,-0.1911,0.2335,19.7020,,
2580.67284,-4.23716,0.7228,1.0585,0.1590,0.2329,19.5996,1.5900,
2580.67978,-4.23022,-0.0443,1.0476,-0.0097,0.2305,19.7020,,
2580.68673,-4.22327,-0.5252,1.0474,-0.1156,0.2305,19.7020,,
2580.69367,-4.21633,-1.7622,1.0374,-0.3877,0.2283,19.7020,,
2580.70062,-4.20938,-0.0453,1.0403,-0.0100,0.2289,19.7020,,
2580.70756,-4.20244,-0.6180,1.0435,-0.1360,0.2296,19.7020,,
2580.71450,-4.19550,-0.9667,1.0491,-0.2127,0.2308,19.7020,,
2580.72145,-4.18855,-2.3500,1.0453,-0.5171,0.2300,19.7020,,
2580.72839,-4.18161,-0.2707,1.0479,-0.0596,0.2306,19.7020,,
2580.73534,-4.17466,-0.9227,1.0424,-0.2030,0.2294,19.7020,,
2580.74228,-4.16772,-1.2242,1.0439,-0.2694,0.2297,19.7020,,
2580.74923,-4.16077,0.1495,1.0366,0.0329,0.2281,19.7020,,
2580.75617,-4.15383,-1.3697,1.0414,-0.3014,0.2291,19.7020,,
2580.76312,-4.14688,0.0375,1.0364,0.0082,0.2280,19.7020,,
2580.77006,-4.13994,0.5846,1.0368,0.1286,0.2281,19.7020,,
2580.77701,-4.13299,0.5879,1.0437,0.1294,0.2297,19.7020,,
2580.78395,-4.12605,-0.8796,1.0400,-0.1935,0.2288,19.7020,,
2580.79090,-4.11910,-1.6817,1.0359,-0.3700,0.2279,19.7020,,
2580.79784,-4.11216,-0.4967,1.0388,-0.1093,0.2286,19.7020,,
2580.80479,-4.10521,0.1775,1.0353,0.0391,0.2278,19.7020,,
2580.81173,-4.09827,2.2039,1.0385,0.4849,0.2285,18.3892,0.5116,
2580.81867,-4.09133,-1.7140,1.0323,-0.3771,0.2271,19.7020,,
2580.82562,-4.08438,-0.7825,1.0254,-0.1722,0.2256,19.7020,,
2580.83256,-4.07744,-1.4421,1.0294,-0.3173,0.2265,19.7020,,
2580.83951,-4.07049,-1.7074,1.0271,-0.3757,0.2260,19.7020,,
2580.84645,-4.06355,-1.2243,1.0229,-0.2694,0.2251,19.7020,,
2580.85340,-4.05660,-0.2205,1.0235,-0.0485,0.2252,19.7020,,
2580.86034,-4.04966,0.6485,1.0215,0.1427,0.2248,19.7020,,
2580.86729,-4.04271,0.2477,1.0167,0.0545,0.2237,19.7020,,
2580.87423,-4.03577,-0.8676,1.0049,-0.1909,0.2211,19.7020,,
2580.88118,-4.02882,-0.3988,1.0076,-0.0877,0.2217,19.7020,,
2580.88812,-4.02188,-0.9387,1.0098,-0.2065,0.2222,19.7020,,
2580.89507,-4.01493,-1.2919,1.0098,-0.2843,0.2222,19.7020,,
2580.90201,-4.00799,0.9393,1.0023,0.2067,0.2205,19.3152,1.1585,
2580.90895,-4.00105,-0.9376,0.9954,-0.2063,0.2190,19.7020,,
2580.91590,-3.99410,-0.0920,0.9739,-0.0202,0.2143,19.7020,,
2580.92284,-3.98716,-0.3288,0.9856,-0.0723,0.2169,19.7020,,
2580.92979,-3.98021,-0.6017,0.9789,-0.1324,0.2154,19.7020,,
2580.93673,-3.97327,0.3484,0.9725,0.0767,0.2140,19.7020,,
2580.94368,-3.96632,0.9353,0.9708,0.2058,0.2136,19.3198,1.1269,
2580.95062,-3.95938,-1.3883,0.9759,-0.3055,0.2147,19.7020,,
2580.95757,-3.95243,-0.5389,0.9702,-0.1186,0.2135,19.7020,,
2580.96451,-3.94549,0.5935,0.9708,0.1306,0.2136,19.7020,,
2580.97146,-3.93854,-1.8950,0.9593,-0.4169,0.2111,19.7020,,
2580.97840,-3.93160,0.4540,0.9609,0.0999,0.2114,19.7020,,
2580.98535,-3.92465,-0.6971,0.9596,-0.1534,0.2111,19.7020,,
2580.99229,-3.91771,-0.6790,0.9637,-0.1494,0.2120,19.7020,,
2580.99923,-3.91077,0.2368,0.9803,0.0521,0.2157,19.7020,,
2581.00618,-3.90382,0.0672,0.9690,0.0148,0.2132,19.7020,,
2581.01312,-3.89688,-0.6816,0.9563,-0.1500,0.2104,19.7020,,
2581.02007,-3.88993,-0.4255,0.9520,-0.0936,0.2095,19.7020,,
2581.02701,-3.88299,-1.5192,0.9590,-0.3343,0.2110,19.7020,,
2581.03396,-3.87604,-0.5256,0.9473,-0.1157,0.2084,19.7020,,
2581.04090,-3.86910,-1.0226,0.9599,-0.2250,0.2112,19.7020,,
2581.04785,-3.86215,-0.1169,0.9478,-0.0257,0.2085,19.7020,,
2581.05479,-3.85521,-0.0454,0.9493,-0.0100,0.2089,19.7020,,
2581.06174,-3.84826,-1.1984,0.9408,-0.2637,0.2070,19.7020,,
2581.06868,-3.84132,-0.8078,0.9558,-0.1777,0.2103,19.7020,,
2581.07563,-3.83437,-1.7776,0.9429,-0.3911,0.2075,19.7020,,
2581.08257,-3.82743,0.0171,0.9414,0.0038,0.2071,19.7020,,
2581.08951,-3.82049,0.2979,0.9407,0.0655,0.2070,19.7020,,
2581.09646,-3.81354,-1.9671,0.9424,-0.4328,0.2073,19.7020,,
2581.10340,-3.80660,-1.0573,0.9389,-0.2326,0.2066,19.7020,,
2581.11035,-3.79965,-0.1330,0.9400,-0.0293,0.2068,19.7020,,
2581.11729,-3.79271,-0.5996,0.9404,-0.1319,0.2069,19.7020,,
2581.12424,-3.78576,-0.1240,0.9431,-0.0273,0.2075,19.7020,,
2581.13118,-3.77882,-0.7288,0.9293,-0.1604,0.2045,19.7020,,
2581.13813,-3.77187,-1.1291,0.9330,-0.2484,0.2053,19.7020,,
2581.14507,-3.76493,0.8802,0.9291,0.1937,0.2044,19.3857,1.1460,
2581.15202,-3.75798,-0.6282,0.9218,-0.1382,0.2028,19.7020,,
2581.15896,-3.75104,-2.2651,0.9185,-0.4984,0.2021,19.7020,,
2581.16591,-3.74409,-0.5881,0.9240,-0.1294,0.2033,19.7020,,
2581.17285,-3.73715,0.1343,0.9312,0.0295,0.2049,19.7020,,
2581.17979,-3.73021,0.5838,0.9178,0.1285,0.2019,19.7020,,
2581.18674,-3.72326,1.8551,0.9081,0.4082,0.1998,18.5763,0.5315,
2581.19368,-3.71632,0.0430,0.9172,0.0095,0.2018,19.7020,,
2581.20063,-3.70937,0.4284,0.9214,0.0943,0.2027,19.7020,,
2581.20757,-3.70243,0.3934,0.9110,0.0866,0.2004,19.7020,,
2581.21452,-3.69548,-0.4835,0.9061,-0.1064,0.1994,19.7020,,
