BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2585.03584,0.12584,0.31635,0.13657,0.06961,0.03005,19.50217,0.25148,
2585.28902,0.37902,0.30972,0.13671,0.06815,0.03008,19.49301,0.25038,
2585.52376,0.61376,0.34517,0.14586,0.07595,0.03209,19.56464,0.29294,
2585.78534,0.87534,0.21196,0.17337,0.04664,0.03815,19.57700,0.38330,
2586.03339,1.12339,0.27658,0.25637,0.06086,0.05641,19.56013,0.64364,
2586.36048,1.45048,0.69380,0.28819,0.15268,0.06341,19.40820,0.41093,
2586.53756,1.62756,0.51599,0.13616,0.11353,0.02996,19.45510,0.22333,
2586.78757,1.87757,0.19727,0.13517,0.04342,0.02974,19.55206,0.29504,
2587.03757,2.12757,0.37236,0.13578,0.08194,0.02988,19.51435,0.26844,
2587.28758,2.37758,0.33727,0.13586,0.07421,0.02989,19.54182,0.27234,
2587.53759,2.62759,0.54418,0.13625,0.11973,0.02998,19.44260,0.21215,
2587.78759,2.87759,0.40519,0.13592,0.08916,0.02991,19.49876,0.23302,
2588.03760,3.12760,0.56550,0.13612,0.12443,0.02995,19.45493,0.21205,
2588.28760,3.37760,0.87376,0.13486,0.19226,0.02967,19.27070,0.17436,
2588.53761,3.62761,1.05086,0.13505,0.23122,0.02971,19.20451,0.16295,
2588.78761,3.87761,1.02602,0.13502,0.22575,0.02971,19.19420,0.15549,
2589.03762,4.12762,0.92565,0.13493,0.20366,0.02969,19.25111,0.15974,
2589.28762,4.37762,1.05362,0.13617,0.23182,0.02996,19.16632,0.14883,
2589.53762,4.62762,1.36775,0.13573,0.30094,0.02986,18.99125,0.13080,
2589.78763,4.87763,0.93678,0.13586,0.20612,0.02989,19.21181,0.15738,
2590.03763,5.12763,1.30575,0.13506,0.28731,0.02971,19.00512,0.13129,
2590.28764,5.37764,1.52908,0.13451,0.33645,0.02960,18.88121,0.11668,
2590.53764,5.62764,1.69509,0.13463,0.37297,0.02962,18.75248,0.10739,
2590.78765,5.87765,1.67274,0.13443,0.36806,0.02958,18.76142,0.10367,
2591.03765,6.12765,1.92613,0.13490,0.42380,0.02968,18.61035,0.08938,
2591.28766,6.37766,1.96051,0.13522,0.43136,0.02975,18.58343,0.09120,
2591.53766,6.62766,2.08269,0.13533,0.45826,0.02978,18.51449,0.08394,
2591.77809,6.86809,1.98762,0.14213,0.43733,0.03127,18.56618,0.08796,
2592.03252,7.12252,2.37097,0.15105,0.52168,0.03323,18.39936,0.08780,
2592.28085,7.37085,2.62891,0.15605,0.57844,0.03434,18.24991,0.07473,
2592.48976,7.57976,2.48076,0.36504,0.54584,0.08032,18.29664,0.17706,
2593.89301,8.98301,1.27457,1.26956,0.28043,0.27932,18.72697,0.70785,
2594.03150,9.12150,3.45082,0.42188,0.75928,0.09283,17.99752,0.14579,
2594.28567,9.37567,3.01572,0.34117,0.66354,0.07507,18.15358,0.17184,
2594.54377,9.63377,3.20036,0.25296,0.70417,0.05566,18.03388,0.10039,
2594.78507,9.87507,3.21337,0.22464,0.70703,0.04943,18.05228,0.09341,
2595.03770,10.12770,3.54994,0.19209,0.78110,0.04226,17.91748,0.06965,
2595.28681,10.37681,3.39702,0.17362,0.74744,0.03820,17.95229,0.06216,
2595.54039,10.63039,3.46624,0.16181,0.76268,0.03560,17.93489,0.05727,
2595.78771,10.87771,3.49780,0.15618,0.76961,0.03436,17.91326,0.05201,
2596.03771,11.12771,4.03169,0.15121,0.88709,0.03327,17.75901,0.04395,
2596.28772,11.37772,4.19484,0.14683,0.92298,0.03231,17.71266,0.04072,
2596.53772,11.62772,4.42774,0.14461,0.97423,0.03182,17.64709,0.03702,
2596.78772,11.87772,4.31766,0.14234,0.95001,0.03132,17.67301,0.03726,
2597.03773,12.12773,4.21146,0.13846,0.92664,0.03047,17.70269,0.03762,
2597.28773,12.37773,4.45789,0.13783,0.98086,0.03033,17.64464,0.03578,
2597.53773,12.62773,4.58794,0.13775,1.00948,0.03031,17.61031,0.03423,
2597.78774,12.87774,4.59812,0.13594,1.01172,0.02991,17.60757,0.03360,
2598.03774,13.12774,4.48529,0.13548,0.98689,0.02981,17.63964,0.03498,
2598.28774,13.37774,4.66059,0.13519,1.02546,0.02974,17.59177,0.03287,
2598.53774,13.62774,4.51176,0.13396,0.99271,0.02948,17.62797,0.03379,
2598.78775,13.87775,4.42235,0.13406,0.97303,0.02950,17.65028,0.03462,
2599.03775,14.12775,4.40191,0.13420,0.96854,0.02953,17.65593,0.03475,
2599.28775,14.37775,4.29488,0.13408,0.94500,0.02950,17.68729,0.03618,
2599.53776,14.62776,4.49667,0.13344,0.98939,0.02936,17.63550,0.03474,
2599.78776,14.87776,4.39653,0.13465,0.96736,0.02963,17.65081,0.03430,
2600.03568,15.12568,4.23816,0.13557,0.93252,0.02983,17.68925,0.03570,
2600.28082,15.37082,4.58549,0.13781,1.00894,0.03032,17.60458,0.03370,
2600.47527,15.56527,4.36218,0.28521,0.95980,0.06275,17.65742,0.07294,
