BJD,t,CRate,e_CRate,Frac,e_Frac,Tmag,e_Tmag,CalOff
2586.02460,0.02460,-0.04175,0.61441,-0.00530,0.07746,19.57920,1.07670,
2586.43085,0.43085,0.06619,0.19896,0.00834,0.02509,19.58291,0.39270,
2586.62182,0.62182,0.15308,0.14469,0.01931,0.01824,19.60148,0.31784,
2586.87182,0.87182,0.09118,0.14471,0.01150,0.01825,19.58195,0.29738,
2587.12182,1.12182,0.09315,0.14490,0.01175,0.01827,19.60365,0.30561,
2587.37183,1.37183,0.32100,0.14494,0.04048,0.01828,19.49899,0.25910,
2587.62183,1.62183,0.23681,0.14482,0.02986,0.01826,19.59472,0.30389,
2587.87183,1.87183,0.03361,0.14491,0.00424,0.01827,19.59344,0.28823,
2588.12183,2.12183,0.10790,0.14483,0.01361,0.01826,19.58362,0.29712,
2588.37183,2.37183,0.30735,0.14496,0.03875,0.01828,19.54202,0.25744,
2588.62183,2.62183,0.71134,0.14513,0.08971,0.01830,19.32240,0.18919,
2588.87182,2.87182,0.52331,0.14504,0.06599,0.01829,19.46068,0.22681,
2589.12182,3.12182,0.45001,0.14503,0.05674,0.01829,19.43818,0.21985,
2589.37182,3.37182,0.78502,0.14491,0.09899,0.01828,19.28558,0.17427,
2589.62182,3.62182,0.81360,0.14489,0.10260,0.01827,19.21062,0.15668,
2589.87182,3.87182,1.01221,0.14492,0.12765,0.01828,19.12814,0.15034,
2590.12182,4.12182,1.20904,0.14516,0.15247,0.01831,19.07106,0.14663,
2590.37182,4.37182,1.38536,0.14499,0.17469,0.01828,18.99313,0.13537,
2590.62182,4.62182,1.17039,0.14510,0.14760,0.01830,19.07253,0.14854,
2590.87182,4.87182,1.64013,0.14517,0.20683,0.01831,18.80671,0.12169,
2591.12182,5.12182,1.81279,0.14528,0.22860,0.01832,18.70976,0.10650,
2591.37182,5.37182,2.12874,0.14532,0.26845,0.01832,18.54499,0.09719,
2591.62182,5.62182,1.94026,0.14541,0.24468,0.01834,18.61885,0.09274,
2591.86207,5.86207,2.44117,0.15677,0.30784,0.01977,18.34789,0.09086,
2592.11941,6.11941,2.20958,0.17118,0.27865,0.02159,18.45604,0.10503,
2592.33796,6.33796,2.60582,0.21827,0.32862,0.02752,18.24723,0.10021,
2592.51649,6.51649,2.83170,0.50489,0.35707,0.06366,18.19237,0.23999,
2596.65810,10.65810,5.44554,0.19598,0.68671,0.02471,17.43038,0.04174,
2596.87871,10.87871,5.22618,0.16068,0.65904,0.02026,17.47666,0.03582,
2597.12871,11.12871,5.50460,0.15603,0.69415,0.01968,17.41295,0.03251,
2597.37871,11.37871,5.40408,0.15289,0.68148,0.01928,17.43036,0.03204,
2597.62871,11.62871,5.70361,0.15034,0.71924,0.01896,17.37071,0.02988,
2597.87871,11.87871,5.91285,0.14817,0.74563,0.01869,17.33391,0.02857,
2598.12870,12.12870,6.16717,0.14750,0.77770,0.01860,17.28496,0.02696,
2598.37870,12.37870,6.05576,0.14710,0.76366,0.01855,17.30576,0.02754,
2598.62870,12.62870,6.59886,0.14679,0.83214,0.01851,17.20843,0.02483,
2598.87869,12.87870,6.19954,0.14668,0.78180,0.01850,17.28095,0.02683,
2599.12869,13.12869,6.73569,0.14668,0.84939,0.01850,17.19024,0.02465,
2599.37869,13.37869,6.89065,0.14660,0.86894,0.01848,17.16058,0.02369,
2599.62869,13.62869,6.40339,0.14640,0.80749,0.01846,17.24211,0.02557,
2599.87868,13.87868,7.02370,0.14635,0.88572,0.01846,17.13808,0.02309,
2600.12918,14.12918,7.20417,0.14852,0.90847,0.01873,17.11082,0.02287,
2600.36778,14.36778,7.02697,0.16281,0.88613,0.02053,17.14515,0.02636,
2600.62867,14.62867,7.04234,0.14600,0.88806,0.01841,17.13364,0.02287,
2600.87867,14.87867,7.12448,0.14600,0.89843,0.01841,17.12533,0.02288,
2601.12867,15.12867,7.24824,0.14613,0.91403,0.01843,17.10723,0.02256,
2601.37866,15.37866,7.40036,0.14615,0.93321,0.01843,17.08292,0.02197,
2601.62866,15.62866,7.45969,0.14602,0.94069,0.01841,17.07357,0.02178,
2601.87866,15.87866,7.44387,0.14606,0.93870,0.01842,17.07691,0.02192,
2602.12822,16.12822,7.48646,0.15498,0.94407,0.01954,17.06984,0.02299,
2602.37865,16.37865,7.67109,0.14597,0.96736,0.01841,17.04353,0.02115,
2602.62864,16.62864,7.36528,0.14599,0.92879,0.01841,17.08564,0.02191,
2602.87864,16.87864,7.75444,0.14597,0.97787,0.01841,17.03116,0.02089,
2603.12864,17.12864,7.86568,0.14603,0.99189,0.01841,17.01571,0.02062,
2603.37863,17.37863,7.89363,0.14607,0.99541,0.01842,17.01315,0.02061,
2603.62863,17.62863,7.80708,0.14602,0.98451,0.01841,17.02615,0.02091,
2603.87862,17.87862,8.07008,0.14610,1.01767,0.01842,16.98573,0.01999,
2604.12862,18.12862,8.08772,0.14611,1.01989,0.01843,16.99186,0.02042,
2604.30223,18.30223,8.10001,0.23431,1.02145,0.02955,16.98086,0.03185,
